Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:08:144,38.903461,-77.007583,8,1,350,6,20 MHz,0,0,0,-78.4,-78.4,496,1,287127,9.35,5,-101.27,-101.27,-7.79,12.97,287118,9.35,-103.56,-103.56,-0.24,-103.56,-0.49,10.49,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:03:08:144,38.903461,-77.007583,8,1,350,6,20 MHz,0,0,0,-78.4,-78.4,193,1,287110,9.35,13,-116.47,-116.47,-23,-15.3,287118,9.35,-103.58,-103.58,-0.24,-111.86,-8.77,0.47,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:03:08:144,38.903461,-77.007583,8,1,350,6,20 MHz,0,0,0,-78.4,-78.4,191,1,287129,9.35,0,-125.17,-125.17,-31.69,-16.7,287125,9.35,-114.11,-114.11,-10.78,-114.65,-11.49,-10.78,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:08:144,38.903461,-77.007583,8,1,175,5,15 MHz,0,0,0,-61.61,-61.61,331,1,287131,9.35,5,-93.78,-93.78,-12.19,28.61,287130,9.35,-87.96,-87.96,-0.01,-87.92,-0.01,25.53,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:08:144,38.903461,-77.007583,8,1,550,4,10 MHz,0,0,0,-82,-82,186,1,287129,9.35,5,-96.77,-96.77,-4.3,27.83,287133,9.35,-101.44,-101.44,-0.3,-101.71,-0.3,11.38,1,3,0,2,23,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,685C0000,68CC42821989C402246B415D7BF02EBF8801840C2271C0F04C01308000000000,,
07/07/2026,14:04:13:369,38.903602,-77.007393,9,2,550,4,10 MHz,0,0,0,-81.9,-81.9,186,1,287121,9.35,5,-96.94,-96.94,-4.16,27.3,287121,9.35,-99.62,-99.62,-0.32,-99.59,-0.31,11.13,1,3,0,2,23,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:04:13:369,38.903602,-77.007393,9,2,350,6,20 MHz,0,0,0,-76.5,-76.5,496,1,287121,9.35,6,-101.72,-101.72,-8.29,12.13,287117,9.35,-100.14,-100.14,-0.21,-100.45,-0.29,12.23,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:04:13:369,38.903602,-77.007393,9,2,350,6,20 MHz,0,0,0,-76.5,-76.5,193,1,287103,9.35,45,-116.31,-116.31,-22.89,-14.67,287116,9.35,-100.14,-100.14,-0.21,-109.47,-9.3,0.79,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:04:13:369,38.903602,-77.007393,9,2,350,6,20 MHz,0,0,0,-76.5,-76.5,191,1,287121,9.35,0,-127.21,-127.21,-33.79,-19.74,287091,9.34,-110.89,-110.89,-10.96,-111.67,-11.48,-10.86,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:13:369,38.903602,-77.007393,9,2,175,5,15 MHz,0,0,0,-64.21,-64.21,331,1,287124,9.35,4,-97.17,-97.17,-12.72,26.18,287124,9.35,-91.63,-91.63,-0.02,-91.63,-0.03,21.46,2,,,,,,,,,,,,,,,,,,,,,,
