Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:55:316,38.903461,-77.007583,3,1,4325,5,15 MHz,0,0,0,-61.41,-61.41,331,1,287133,9.35,1,-94.76,-94.76,-12.89,27.46,287133,9.35,-88.79,-88.79,-0.01,-88.83,-0.01,25.49,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:02:55:316,38.903461,-77.007583,3,1,4500,6,20 MHz,0,0,0,-78.1,-78.1,496,1,287129,9.35,5,-99.4,-99.4,-6.78,12.82,287128,9.35,-99.08,-99.08,-0.18,-99.22,-0.21,13.3,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:02:55:316,38.903461,-77.007583,3,1,4500,6,20 MHz,0,0,0,-78.1,-78.1,193,1,287112,9.35,48,-113.9,-113.9,-21.27,-14.51,287128,9.35,-99.09,-99.09,-0.18,-109.08,-10.07,0.57,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:02:55:316,38.903461,-77.007583,3,1,4500,6,20 MHz,0,0,0,-78.1,-78.1,191,1,287130,9.35,1,-127.13,-127.13,-34.49,-15.61,287173,9.35,-110.08,-110.08,-11.15,-110.89,-11.82,-11.14,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:02:55:316,38.903461,-77.007583,3,1,4700,4,10 MHz,0,0,0,-82.3,-82.3,186,1,287131,9.35,5,-97.4,-97.4,-4.18,27.81,287133,9.35,-101.83,-101.83,-0.16,-102.1,-0.17,13.92,1,3,0,2,23,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,685C0000,68CC42821989C402246B415D7BF02EBF8801840C2271C0F04C01308000000000,,
07/07/2026,14:04:08:000,38.903602,-77.007393,4,2,4500,6,20 MHz,0,0,0,-83.2,-83.2,496,1,287121,9.35,9,-104.91,-104.91,-7.14,10.86,287123,9.35,-101.12,-101.12,-0.16,-101.09,-0.2,13.6,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:04:08:000,38.903602,-77.007393,4,2,4500,6,20 MHz,0,0,0,-83.2,-83.2,191,1,287121,9.35,5,-127.38,-127.38,-29.59,-12.06,287157,9.35,-112.35,-112.35,-11.38,-112.38,-11.46,-11.1,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:08:000,38.903602,-77.007393,4,2,4500,6,20 MHz,0,0,0,-83.2,-83.2,193,1,287103,9.35,45,-117.44,-117.44,-19.66,-12.59,287124,9.35,-101.11,-101.11,-0.16,-110.6,-9.7,0.56,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:04:08:000,38.903602,-77.007393,4,2,4700,4,10 MHz,0,0,0,-74.1,-74.1,186,1,287119,9.35,5,-96.39,-96.39,-5.88,27.71,287121,9.35,-95.09,-95.09,-0.01,-94.94,-0.01,23.4,1,3,0,2,23,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:04:08:000,38.903602,-77.007393,4,2,4325,5,15 MHz,0,0,0,-69.31,-69.31,331,1,287124,9.35,1,-97.82,-97.82,-11.18,25.64,287124,9.35,-94.03,-94.03,-0.01,-94.03,-0.01,24.65,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:33:795,38.903743,-77.007202,5,3,4700,4,10 MHz,0,0,0,-78,-78,186,1,287109,9.35,8,-100.49,-100.49,-6.09,24.52,287111,9.35,-103.63,-103.63,-0.43,-103.39,-0.4,9.93,1,3,0,2,23,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:05:33:795,38.903743,-77.007202,5,3,4325,5,15 MHz,0,0,0,-65.51,-65.51,331,1,287113,9.35,6,-98.96,-98.96,-13.37,23.83,287115,9.35,-98.96,-98.96,-0.12,-98.93,-0.12,15.44,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:33:795,38.903743,-77.007202,5,3,4500,6,20 MHz,0,0,0,-79.4,-79.4,496,1,287110,9.35,6,-101.32,-101.32,-6.85,12.24,287101,9.35,-106.48,-106.48,-0.59,-106.52,-1.04,6.79,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:05:33:795,38.903743,-77.007202,5,3,4500,6,20 MHz,0,0,0,-79.4,-79.4,191,1,287110,9.35,1,-122.06,-122.06,-27.58,-8.51,287114,9.35,-115.95,-115.95,-10.01,-115.3,-9.74,-9.4,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:33:795,38.903743,-77.007202,5,3,4500,6,20 MHz,0,0,0,-79.4,-79.4,193,1,287093,9.34,6,-114.34,-114.34,-19.87,-12.98,287098,9.35,-106.45,-106.45,-0.59,-112.67,-7.18,0.29,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:06:48:153,38.903883,-77.007012,6,4,4700,4,10 MHz,0,0,0,-73,-73,186,1,287101,9.35,0,-88.1,-88.1,-3.7,27.58,287103,9.35,-88.27,-88.27,-0.02,-88.4,-0.02,22.13,1,3,0,2,23,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:06:48:153,38.903883,-77.007012,6,4,4500,6,20 MHz,0,0,0,-65,-65,496,1,287099,9.35,1,-93.81,-93.81,-9.13,25.16,287098,9.35,-95.31,-95.31,-0.02,-95.32,-0.04,20.79,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
