Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:00:021,38.903461,-77.007583,3,1,5780,4,10 MHz,0,0,0,-72.51,-72.51,411,1,287161,9.35,61,-104.58,-104.58,-15.46,-2.55,287151,9.35,-100.99,-100.99,-2.24,-100.8,-2.45,1.42,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:04:09:820,38.903602,-77.007393,4,2,5780,4,10 MHz,0,0,0,-71.81,-71.81,411,1,287127,9.35,58,-109.07,-109.07,-20.57,-7.8,287151,9.35,-103.51,-103.51,-3.85,-107.05,-6.66,-3.23,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:05:38:927,38.903743,-77.007202,5,3,5780,4,10 MHz,0,0,0,-71.21,-71.21,411,1,287119,9.35,53,-107.17,-107.17,-18.39,-4.84,287123,9.35,-99.48,-99.48,-2.76,-100.13,-3.29,-0.01,4,3,0,2,8,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:06:49:410,38.903883,-77.007012,6,4,5780,4,10 MHz,0,0,0,-72.21,-72.21,411,1,287101,9.35,48,-103.99,-103.99,-15.75,-1.46,287145,9.35,-98.39,-98.39,-2.32,-98.41,-2.32,1.49,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:08:25:942,38.904355,-77.006319,7,5,5780,4,10 MHz,0,0,0,-57.61,-57.61,411,1,287087,9.34,64,-88.06,-88.06,-13.33,3.63,287109,9.35,-84.58,-84.58,-4.31,-85.84,-5.31,-3,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:08:25:942,38.904355,-77.006319,7,5,5780,4,10 MHz,0,0,0,-57.61,-57.61,293,1,287099,9.35,24,-93.66,-93.66,-18.94,-8.98,287105,9.35,-84.32,-84.32,-4.04,-84.03,-3.5,-1.4,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:09:47:152,38.903884,-77.007010,8,6,5780,4,10 MHz,0,0,0,-69.02,-69.02,411,1,287093,9.34,34,-103.5,-103.5,-17.35,-3.01,287091,9.34,-99.31,-99.31,-2.79,-98.38,-2.57,0.69,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:09:47:152,38.903884,-77.007010,8,6,5780,4,10 MHz,0,0,0,-69.02,-69.02,281,1,287127,9.35,0,-104.44,-104.44,-18.29,-7.08,287103,9.35,-102.15,-102.15,-5.6,-104.3,-8.49,-5.95,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:09:47:152,38.903884,-77.007010,8,6,5780,4,10 MHz,0,0,0,-69.02,-69.02,293,1,287089,9.34,16,-110.35,-110.35,-24.19,-13.73,287099,9.35,-102.17,-102.17,-5.65,-102.89,-7.09,-5.24,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:22:967,38.904298,-77.006485,9,7,5780,4,10 MHz,0,0,0,-63.72,-63.72,411,1,287073,9.34,29,-87.34,-87.34,-9.21,10.36,287095,9.34,-93.77,-93.77,-3.71,-94.56,-4.86,-2.23,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
