Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:02:813,38.903461,-77.007583,3,1,8565,5,15 MHz,0,0,0,-72.4,-72.4,331,1,287133,9.35,4,-96.37,-96.37,-7.69,28.78,287133,9.35,-98.99,-98.99,-0.34,-98.99,-0.35,10.74,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:03:02:813,38.903461,-77.007583,3,1,8290,6,20 MHz,0,0,0,-65.71,-65.71,186,1,287129,9.35,4,-90.35,-90.35,-4.89,27.8,287134,9.35,-93.95,-93.95,-0.02,-93.72,-0.02,22.5,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:02:813,38.903461,-77.007583,3,1,8440,4,10 MHz,0,0,0,-71.8,-71.8,23,1,287131,9.35,0,-90.53,-90.53,-6.54,22.44,287131,9.35,-90.99,-90.99,-0.07,-90.51,-0.06,17.86,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:03:02:813,38.903461,-77.007583,3,1,8440,4,10 MHz,0,0,0,-71.8,-71.8,255,1,287112,9.35,2,-116.39,-116.39,-32.44,-14.18,287112,9.35,-98.67,-98.67,-7.75,-102.13,-11.68,-8.86,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:10:783,38.903602,-77.007393,4,2,8565,5,15 MHz,0,0,0,-66.9,-66.9,331,1,287125,9.35,1,-98.2,-98.2,-11.27,26.79,287123,9.35,-92.59,-92.59,-0.02,-92.62,-0.02,22.32,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:04:10:783,38.903602,-77.007393,4,2,8290,6,20 MHz,0,0,0,-65.4,-65.4,186,1,287123,9.35,6,-94.4,-94.4,-9.1,23.12,287123,9.35,-97.06,-97.06,-0.04,-97.01,-0.05,19.51,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:10:783,38.903602,-77.007393,4,2,8440,4,10 MHz,0,0,0,-62.6,-62.6,23,1,287123,9.35,5,-93.07,-93.07,-11.52,17.05,287117,9.35,-97.48,-97.48,-0.36,-97.7,-0.41,10.27,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:04:10:783,38.903602,-77.007393,4,2,8440,4,10 MHz,0,0,0,-62.6,-62.6,255,1,287104,9.35,0,-112.73,-112.73,-31.19,-19.94,287112,9.35,-103.23,-103.23,-6.1,-106.23,-8.94,-6.37,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:42:322,38.903743,-77.007202,5,3,8440,4,10 MHz,0,0,0,-81.4,-81.4,23,1,287109,9.35,8,-103.75,-103.75,-8.38,10.44,287111,9.35,-103.19,-103.19,-1.46,-105.03,-2.32,2.82,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:05:42:322,38.903743,-77.007202,5,3,8440,4,10 MHz,0,0,0,-81.4,-81.4,255,1,287092,9.34,8,-114.95,-114.95,-19.59,-7.07,287110,9.35,-104.4,-104.4,-2.67,-109.96,-7.24,-2.03,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:42:322,38.903743,-77.007202,5,3,8565,5,15 MHz,0,0,0,-64.6,-64.6,331,1,287114,9.35,6,-98.8,-98.8,-13.65,25.27,287113,9.35,-99.67,-99.67,-0.02,-99.65,-0.02,22.52,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:05:42:322,38.903743,-77.007202,5,3,8290,6,20 MHz,0,0,0,-76,-76,186,1,287112,9.35,9,-103.11,-103.11,-7.66,17.54,287114,9.35,-101.86,-101.86,-0.06,-101.94,-0.06,18.21,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:50:437,38.903883,-77.007012,6,4,8290,6,20 MHz,0,0,0,-77.4,-77.4,186,1,287101,9.35,6,-96.07,-96.07,-3.81,25.13,287102,9.35,-95.88,-95.88,-0.09,-96,-0.11,16.2,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:50:437,38.903883,-77.007012,6,4,8440,4,10 MHz,0,0,0,-75.4,-75.4,23,1,287101,9.35,2,-94.78,-94.78,-6.85,17.48,287101,9.35,-95.14,-95.14,-0.26,-95.47,-0.34,11.39,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:06:50:437,38.903883,-77.007012,6,4,8440,4,10 MHz,0,0,0,-75.4,-75.4,69,1,287103,9.35,0,-116.47,-116.47,-28.5,-12.54,287103,9.35,-100.79,-100.79,-5.91,-106.06,-10.93,-6.86,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:50:437,38.903883,-77.007012,6,4,8440,4,10 MHz,0,0,0,-75.4,-75.4,255,1,287097,9.35,16,-117.84,-117.84,-29.94,-13.8,287103,9.35,-100.8,-100.8,-5.93,-105.9,-10.78,-6.83,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:50:437,38.903883,-77.007012,6,4,8565,5,15 MHz,0,0,0,-71.1,-71.1,331,1,287107,9.35,9,-95.44,-95.44,-8.92,28.82,287107,9.35,-91.56,-91.56,-0.01,-91.52,-0.01,25.98,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:08:30:976,38.904355,-77.006319,7,5,8440,4,10 MHz,0,0,0,-46.5,-46.5,23,1,287087,9.34,2,-66.54,-66.54,-7.04,14.75,287087,9.34,-62.21,-62.21,0,-62.67,-0.02,24.2,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:08:30:976,38.904355,-77.006319,7,5,8290,6,20 MHz,0,0,0,-46.6,-46.6,186,1,287086,9.34,0,-67.73,-67.73,-4.83,21.57,287087,9.34,-65.34,-65.34,-0.01,-65.51,-0.01,25.28,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:08:30:976,38.904355,-77.006319,7,5,8565,5,15 MHz,0,0,0,-42.7,-42.7,331,1,287089,9.34,8,-74.92,-74.92,-11.68,14.28,287090,9.34,-73.76,-73.76,-0.15,-73.83,-0.17,14.16,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:09:48:244,38.903884,-77.007010,8,6,8565,5,15 MHz,0,0,0,-66.01,-66.01,331,1,287083,9.34,6,-93.22,-93.22,-11.49,28.51,287083,9.34,-88.52,-88.52,-0.01,-88.53,-0.01,25.72,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:09:48:244,38.903884,-77.007010,8,6,8440,4,10 MHz,0,0,0,-71.71,-71.71,23,1,287081,9.34,8,-90.18,-90.18,-6.67,20.91,287081,9.34,-87.85,-87.85,-0.07,-87.92,-0.07,17.75,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:09:48:244,38.903884,-77.007010,8,6,8440,4,10 MHz,0,0,0,-71.71,-71.71,255,1,287063,9.34,10,-118.93,-118.93,-35.36,-18.86,287079,9.34,-95.39,-95.39,-7.61,-99.4,-11.55,-8.57,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:09:48:244,38.903884,-77.007010,8,6,8290,6,20 MHz,0,0,0,-64.91,-64.91,186,1,287077,9.34,9,-93.33,-93.33,-8.61,23.66,287079,9.34,-92.99,-92.99,-0.21,-92.97,-0.22,12.81,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:27:958,38.904298,-77.006485,9,7,8440,4,10 MHz,0,0,0,-66.61,-66.61,23,1,287071,9.34,5,-90.53,-90.53,-7.25,16.75,287073,9.34,-93.31,-93.31,-0.32,-92.69,-0.37,10.75,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:11:27:958,38.904298,-77.006485,9,7,8440,4,10 MHz,0,0,0,-66.61,-66.61,69,1,287071,9.34,5,-111.33,-111.33,-27.98,-12.7,287093,9.34,-100.35,-100.35,-7.36,-102.64,-10.31,-8.07,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:27:958,38.904298,-77.006485,9,7,8440,4,10 MHz,0,0,0,-66.61,-66.61,255,1,287051,9.34,2,-116.89,-116.89,-33.54,-18.51,287091,9.34,-100.39,-100.39,-7.4,-103.54,-11.2,-8.46,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:27:958,38.904298,-77.006485,9,7,8565,5,15 MHz,0,0,0,-65.61,-65.61,331,1,287070,9.34,10,-91.46,-91.46,-8.94,29.43,287071,9.34,-88.34,-88.34,-0.02,-88.35,-0.02,21.73,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:11:27:958,38.904298,-77.006485,9,7,8290,6,20 MHz,0,0,0,-67.91,-67.91,186,1,287069,9.34,8,-89.74,-89.74,-4.98,20.89,287070,9.34,-87.01,-87.01,-0.01,-86.78,-0.02,23.78,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:12:51:965,38.904166,-77.006710,10,8,8565,5,15 MHz,0,0,0,-66.31,-66.31,331,1,287062,9.34,6,-90.65,-90.65,-8.69,29.88,287062,9.34,-89.96,-89.96,-0.01,-89.95,-0.01,24.8,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:12:51:965,38.904166,-77.006710,10,8,8290,6,20 MHz,0,0,0,-66.8,-66.8,186,1,287062,9.34,5,-89.82,-89.82,-4.29,24.53,287060,9.34,-93.1,-93.1,-0.73,-92.2,-0.61,7.76,1,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:12:51:965,38.904166,-77.006710,10,8,8440,4,10 MHz,0,0,0,-68.41,-68.41,23,1,287059,9.34,8,-87.64,-87.64,-7.16,19.26,287061,9.34,-84.8,-84.8,-0.07,-84.58,-0.1,16.59,2,3,0,2,201,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:12:51:965,38.904166,-77.006710,10,8,8440,4,10 MHz,0,0,0,-68.41,-68.41,69,1,287061,9.34,0,-104.22,-104.22,-23.7,-7.9,287077,9.34,-92.66,-92.66,-7.93,-95.23,-10.74,-8.59,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:14:33:320,38.904948,-77.005678,11,9,8565,5,15 MHz,0,0,0,-50.21,-50.21,331,1,287053,9.34,1,-79.53,-79.53,-10.25,24.27,287054,9.34,-72.95,-72.95,0,-72.96,0,27.93,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:14:33:320,38.904948,-77.005678,11,9,8440,4,10 MHz,0,0,0,-51.51,-51.51,23,1,287051,9.34,0,-76.33,-76.33,-8.51,19.47,287051,9.34,-78.73,-78.73,-0.05,-78.93,-0.06,18.33,2,3,0,2,201,13,Yes,,,,,,,,,,,,,,,,
