Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:09:358,38.903461,-77.007583,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:16:179,38.903602,-77.007393,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:48:549,38.903743,-77.007202,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:56:898,38.903883,-77.007012,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:08:40:976,38.904355,-77.006319,7,5,67466,4,10 MHz,0,0,0,-70.11,-70.11,396,1,287103,9.35,21,-99.59,-99.59,-13.36,0.43,287103,9.35,-98.37,-98.37,-2.3,-98.27,-1.97,1.95,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:08:40:976,38.904355,-77.006319,7,5,67466,4,10 MHz,0,0,0,-70.11,-70.11,88,1,287101,9.35,10,-110.56,-110.56,-24.32,-12.64,287135,9.35,-102.97,-102.97,-6.9,-106.29,-9.99,-7.42,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:09:53:855,38.903884,-77.007010,8,6,67466,4,10 MHz,0,0,0,-76.51,-76.51,396,1,287093,9.34,16,-111.96,-111.96,-18.37,-6.27,287091,9.34,-115.46,-115.46,-9.64,-114.8,-9.5,-9.06,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:09:53:855,38.903884,-77.007010,8,6,67466,4,10 MHz,0,0,0,-76.51,-76.51,88,1,287097,9.35,0,-122.84,-122.84,-29.22,-17.92,287113,9.35,-115.64,-115.64,-9.77,-115.9,-10.58,-9.75,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:35:726,38.904298,-77.006485,9,7,67466,4,10 MHz,0,0,0,-70.61,-70.61,396,1,287079,9.34,21,-103.51,-103.51,-15.06,-1.66,287081,9.34,-112.51,-112.51,-10.9,-110.38,-9.31,-9.52,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:11:35:726,38.904298,-77.006485,9,7,67466,4,10 MHz,0,0,0,-70.61,-70.61,88,1,287092,9.34,8,-115.16,-115.16,-26.71,-15.31,287120,9.35,-106.88,-106.88,-5.23,-107.2,-6.09,-4.29,0,,,,,,,,,,,,,,,,,,,,,,
