ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,25,07/07/2026,14:02:05:025,2,00/00/0000,00:00:00:000,,38.903461,-77.007583,0.00,0,0.00,,,8,0,0,-77.3,-77.3,,,538,1935.850000,20,15,A,1,1,0,0,2324612,-102.16,-102.16,-11.48,9.11,-102.16,-102.16,-11.48,9.26,32,10.18,-102.76,-102.76,-11.72,8.93,-102.34,-102.34,-11.43,9.78,0C4394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000,1,11
32409007,C00F,25,07/07/2026,14:02:05:029,2,00/00/0000,00:00:00:000,,38.903487,-77.007548,0.00,0,0.00,,,9,0,0,-77.2,-77.2,,,538,1935.850000,20,15,A,1,1,0,0,2324612,-102.05,-102.05,-11.46,9.07,-102,-102,-11.47,9.17,32,10.12,-102.74,-102.74,-11.75,10.17,-102.24,-102.24,-11.4,10.13,0C4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:02:05:029,2,00/00/0000,00:00:00:000,,38.903514,-77.007512,0.00,0,0.00,,,10,0,0,-77.2,-77.2,,,538,1935.850000,20,15,A,1,1,0,0,2324612,-102.03,-102.03,-11.45,9.18,-102.13,-102.13,-11.47,9.41,32,10.29,-102.55,-102.55,-11.53,10.45,-102.23,-102.23,-11.34,10.34,0C4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:02:05:029,2,00/00/0000,00:00:00:000,,38.903540,-77.007476,0.00,0,0.00,,,11,0,0,-77.3,-77.3,,,538,1935.850000,20,15,A,1,1,0,0,2324612,-102.03,-102.03,-11.39,9.78,-102.18,-102.18,-11.5,9.09,32,10.43,-102.65,-102.65,-11.6,9.16,-102.27,-102.27,-11.36,10.02,0C4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:03:21:190,2,00/00/0000,00:00:00:000,,38.903566,-77.007441,0.00,0,0.00,,,12,0,0,-78.1,-78.1,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.55,-102.55,-11.09,13.85,-102.7,-102.7,-11.12,13.36,0,14.6,-103.08,-103.08,-11.29,12.68,-102.76,-102.76,-11.07,13.93,444394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000,1,11
32409007,C00F,25,07/07/2026,14:03:21:194,2,00/00/0000,00:00:00:000,,38.903593,-77.007405,0.00,0,0.00,,,13,0,0,-77.8,-77.8,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.21,-102.21,-11.11,13.39,-102.46,-102.46,-11.15,13.07,0,14.23,-102.79,-102.79,-11.16,12.64,-102.47,-102.47,-11,13.69,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:03:21:194,2,00/00/0000,00:00:00:000,,38.903619,-77.007369,0.00,0,0.00,,,14,0,0,-77.9,-77.9,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.28,-102.28,-11.1,13.71,-102.45,-102.45,-11.11,13.68,0,14.69,-102.79,-102.79,-11.13,14.05,-102.5,-102.5,-10.97,14.49,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:03:21:194,2,00/00/0000,00:00:00:000,,38.903646,-77.007333,0.00,0,0.00,,,15,0,0,-77.8,-77.8,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.14,-102.14,-11.04,15.11,-102.38,-102.38,-11.08,14.31,0,15.7,-102.81,-102.81,-11.28,13.14,-102.43,-102.43,-11.01,14.78,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
32409007,C00F,25,07/07/2026,14:04:43:168,2,00/00/0000,00:00:00:000,,38.903672,-77.007298,0.00,0,0.00,,,16,0,0,-77.9,-77.9,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.45,-102.45,-11.26,11.2,-102.62,-102.62,-11.3,11.12,32,12.16,-103.05,-103.05,-11.44,11.97,-102.69,-102.69,-11.21,12.1,444394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,25,07/07/2026,14:04:43:172,2,00/00/0000,00:00:00:000,,38.903699,-77.007262,0.00,0,0.00,,,17,0,0,-78.1,-78.1,,,538,1935.850000,20,15,A,1,1,0,0,2324564,-102.87,-102.87,-11.28,10.93,-103.01,-103.01,-11.31,10.92,32,11.92,-103.25,-103.25,-11.42,12.25,-103.03,-103.03,-11.26,12.02,464394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,,1,11
