ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,41,07/07/2026,14:02:07:692,2,00/00/0000,00:00:00:000,,38.903461,-77.007583,0.00,0,0.00,,,8,0,0,-69.1,-69.1,,,625,2600.550000,20,30,C,1,1,0,0,2324968,-92.51,-92.51,-10.81,24.17,-92.55,-92.55,-10.8,25.92,0,25.01,-93.75,-93.75,-10.8,22.55,-92.89,-92.89,-10.41,24.22,2F6624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275E3600000000,12,16,08,00,10,39,5E3600000000,1,11
32409007,C00F,41,07/07/2026,14:02:07:697,2,00/00/0000,00:00:00:000,,38.903487,-77.007548,0.00,0,0.00,,,9,0,0,-68.9,-68.9,,,625,2600.550000,20,30,C,1,1,0,0,2324968,-92.33,-92.33,-10.81,24.25,-92.37,-92.37,-10.81,22.81,0,23.69,-93.54,-93.54,-10.81,22.75,-92.69,-92.69,-10.41,23.42,2F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:02:07:697,2,00/00/0000,00:00:00:000,,38.903514,-77.007512,0.00,0,0.00,,,10,0,0,-68.6,-68.6,,,625,2600.550000,20,30,C,1,1,0,0,2324968,-92.08,-92.08,-10.8,27.93,-92.07,-92.07,-10.8,24.72,0,25.67,-93.19,-93.19,-10.79,23.98,-92.41,-92.41,-10.44,25.15,2F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:02:07:697,2,00/00/0000,00:00:00:000,,38.903540,-77.007476,0.00,0,0.00,,,11,0,0,-68.5,-68.5,,,625,2600.550000,20,30,C,1,1,0,0,2324968,-91.93,-91.93,-10.81,25.54,-91.96,-91.96,-10.8,25.65,0,25.6,-93.06,-93.06,-10.79,23.13,-92.27,-92.27,-10.42,24.79,2F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:03:23:747,2,00/00/0000,00:00:00:000,,38.903566,-77.007441,0.00,0,0.00,,,12,0,0,-71.6,-71.6,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-95.37,-95.37,-10.81,22.39,-95.43,-95.43,-10.82,22.09,16,22.74,-95.91,-95.91,-10.79,21.54,-95.56,-95.56,-10.63,22.35,656624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275E3600000000,12,16,08,00,10,39,5E3600000000,1,11
32409007,C00F,41,07/07/2026,14:03:23:753,2,00/00/0000,00:00:00:000,,38.903593,-77.007405,0.00,0,0.00,,,13,0,0,-70.9,-70.9,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-94.48,-94.48,-10.82,22.04,-94.89,-94.89,-10.81,22.95,0,22.86,-95.33,-95.33,-10.78,22.41,-94.88,-94.88,-10.57,22.73,656624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:03:23:753,2,00/00/0000,00:00:00:000,,38.903619,-77.007369,0.00,0,0.00,,,14,0,0,-71.3,-71.3,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-95.17,-95.17,-10.81,22.33,-95.16,-95.16,-10.81,23.16,16,23.14,-95.73,-95.73,-10.88,22.75,-95.34,-95.34,-10.67,23.02,656624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:03:23:753,2,00/00/0000,00:00:00:000,,38.903646,-77.007333,0.00,0,0.00,,,15,0,0,-71.4,-71.4,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-95.25,-95.25,-10.81,21.71,-95.3,-95.3,-10.84,19.76,16,21.19,-96.01,-96.01,-11.08,18.22,-95.45,-95.45,-10.69,20.56,656624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:04:45:946,2,00/00/0000,00:00:00:000,,38.903672,-77.007298,0.00,0,0.00,,,16,0,0,-71.1,-71.1,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-94.66,-94.66,-10.82,21.56,-94.76,-94.76,-10.83,20.99,0,21.82,-95.56,-95.56,-10.78,20.82,-94.97,-94.97,-10.52,21.52,696624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275FF600000000,12,16,08,00,10,39,5FF600000000,1,11
32409007,C00F,41,07/07/2026,14:04:45:951,2,00/00/0000,00:00:00:000,,38.903699,-77.007262,0.00,0,0.00,,,17,0,0,-71.1,-71.1,,,625,2600.550000,20,30,C,1,1,0,0,2324880,-94.71,-94.71,-10.81,22.31,-94.76,-94.76,-10.82,22.05,0,22.68,-95.54,-95.54,-10.76,21.63,-94.98,-94.98,-10.52,22.36,696624,,,,,,,,,,,,,,,,,,,,1,11
