Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:02:783,38.903461,-77.007583,3,1,1125,5,15 MHz,0,0,0,-64.2,-64.2,331,1,287141,9.35,2,-96.16,-96.16,-12.54,28.01,287140,9.35,-96.36,-96.36,-0.05,-96.4,-0.05,19.09,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:02:02:783,38.903461,-77.007583,3,1,850,6,20 MHz,0,0,0,-71.91,-71.91,186,1,287139,9.35,4,-92.14,-92.14,-4.96,29.46,287143,9.35,-93.48,-93.48,-0.02,-93.28,-0.03,21.3,1,5,0,2,114,13,Yes,168487805,410;100,310;313,1,4661,1,0,False,,,2,,A9C9A000,68CC42821989C402246B415D6FB02EA08801840C2270C0A0C03884B3F6000000,,
07/07/2026,14:02:02:783,38.903461,-77.007583,3,1,1000,4,10 MHz,0,0,0,-75.7,-75.7,23,1,287137,9.35,5,-94.91,-94.91,-6.72,17.16,287135,9.35,-98.67,-98.67,-0.69,-98.27,-0.7,7.6,2,3,0,2,201,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,6B25A000,684C424C14FD6D964508823504402061130C1B6E050601C0259FC80000000000,,
07/07/2026,14:02:02:783,38.903461,-77.007583,3,1,1000,4,10 MHz,0,0,0,-75.7,-75.7,255,1,287122,9.35,10,-117.51,-117.51,-29.37,-11.79,287124,9.35,-104.73,-104.73,-6.77,-106.81,-9.23,-7.11,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:18:870,38.903566,-77.007441,4,2,1125,5,15 MHz,0,0,0,-63.5,-63.5,331,1,287131,9.35,5,-93.79,-93.79,-11.96,28.27,287129,9.35,-89.5,-89.5,0,-89.58,0,27.36,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22AA492C7D80000000000000000000,,
07/07/2026,14:03:18:870,38.903566,-77.007441,4,2,850,6,20 MHz,0,0,0,-73.6,-73.6,186,1,287128,9.35,5,-92.8,-92.8,-4,31.37,287130,9.35,-92.81,-92.81,0,-92.73,-0.01,26.1,1,5,0,2,114,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:03:18:870,38.903566,-77.007441,4,2,1000,4,10 MHz,0,0,0,-67.5,-67.5,23,1,287129,9.35,2,-87.4,-87.4,-7.02,24.68,287129,9.35,-86.8,-86.8,-0.04,-86.57,-0.04,19.71,2,3,0,2,201,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:03:18:870,38.903566,-77.007441,4,2,1000,4,10 MHz,0,0,0,-67.5,-67.5,255,1,287110,9.35,2,-117.87,-117.87,-37.51,-21.56,287110,9.35,-94.6,-94.6,-7.85,-98.08,-11.55,-8.82,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:40:752,38.903672,-77.007298,5,3,1125,5,15 MHz,0,0,0,-62,-62,331,1,287121,9.35,4,-94.99,-94.99,-12.69,28.01,287117,9.35,-102.36,-102.36,-0.59,-102.33,-0.58,8.37,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:04:40:752,38.903672,-77.007298,5,3,1000,4,10 MHz,0,0,0,-76.7,-76.7,23,1,287121,9.35,0,-96.13,-96.13,-7.62,15.92,287113,9.35,-99.13,-99.13,-0.8,-99.3,-0.84,6.77,2,3,0,2,201,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:04:40:752,38.903672,-77.007298,5,3,1000,4,10 MHz,0,0,0,-76.7,-76.7,255,1,287100,9.35,0,-117.33,-117.33,-28.83,-14.54,287108,9.35,-103.55,-103.55,-5.18,-105.68,-7.22,-4.84,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:40:752,38.903672,-77.007298,5,3,850,6,20 MHz,0,0,0,-62.4,-62.4,186,1,287119,9.35,4,-92.64,-92.64,-9.62,25.07,287119,9.35,-94.56,-94.56,-0.01,-94.49,-0.02,23.52,1,5,0,2,114,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:05:57:797,38.903778,-77.007155,6,4,850,6,20 MHz,0,0,0,-70.4,-70.4,186,1,287107,9.35,4,-90.27,-90.27,-5.22,29.07,287108,9.35,-91.54,-91.54,-0.03,-91.59,-0.03,21.21,1,5,0,2,114,13,Yes,,,,,,,,,,,,,,,,
