Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:51:820,38.903461,-77.007583,3,1,2125,5,15 MHz,0,0,0,-61.01,-61.01,331,1,287133,9.35,2,-94.52,-94.52,-13.37,28.15,287135,9.35,-89.63,-89.63,-0.01,-89.61,-0.01,23.75,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:07:271,38.903602,-77.007393,4,2,2125,5,15 MHz,0,0,0,-70.51,-70.51,331,1,287125,9.35,0,-99.88,-99.88,-11.13,19.95,287123,9.35,-94.77,-94.77,-0.01,-94.85,-0.01,24.37,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:30:326,38.903743,-77.007202,5,3,2125,5,15 MHz,0,0,0,-64.61,-64.61,331,1,287114,9.35,2,-97.43,-97.43,-12.86,25.93,287114,9.35,-96.62,-96.62,-0.06,-96.61,-0.07,18.05,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:46:879,38.903883,-77.007012,6,4,2125,5,15 MHz,0,0,0,-57.11,-57.11,331,1,287102,9.35,4,-90.41,-90.41,-13.25,19.82,287104,9.35,-87.37,-87.37,0,-87.36,0,26.68,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:46:879,38.903883,-77.007012,6,4,2300,6,20 MHz,0,0,0,-73.4,-73.4,496,1,287099,9.35,1,-94.09,-94.09,-6.39,24.72,287098,9.35,-94.76,-94.76,-0.02,-94.86,-0.04,21.02,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:06:46:879,38.903883,-77.007012,6,4,2300,6,20 MHz,0,0,0,-73.4,-73.4,191,1,287101,9.35,0,-123.84,-123.84,-36.13,-16.41,287123,9.35,-106.32,-106.32,-11.56,-106.61,-11.77,-11.36,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:08:12:292,38.904494,-77.006170,7,5,2300,6,20 MHz,0,0,0,-46.5,-46.5,496,1,287088,9.34,2,-71.01,-71.01,-6.31,22.36,287088,9.34,-70.77,-70.77,0,-70.66,-0.01,27.21,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:08:12:292,38.904494,-77.006170,7,5,2125,5,15 MHz,0,0,0,-44.32,-44.32,331,1,287090,9.34,4,-76.66,-76.66,-12.35,27.02,287088,9.34,-77.68,-77.68,0,-77.73,0,26.48,2,4,0,0,22,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,80580000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C7D8000000000,,
07/07/2026,14:09:43:645,38.903816,-77.007067,8,6,2125,5,15 MHz,0,0,0,-63.53,-63.53,331,1,287080,9.34,5,-96.49,-96.49,-12.98,18.95,287084,9.34,-89.92,-89.92,-0.01,-89.96,-0.01,23.8,2,4,0,0,22,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:09:43:645,38.903816,-77.007067,8,6,2300,6,20 MHz,0,0,0,-77.11,-77.11,496,1,287078,9.34,8,-98.09,-98.09,-6.84,20.57,287082,9.34,-103.34,-103.34,-1.05,-102.84,-1.03,5.64,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
