Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:56:954,38.903461,-77.007583,3,1,5035,3,5 MHz,0,0,0,-58.84,-58.84,198,1,287118,9.35,45,-95.53,-95.53,-21,-8.16,287122,9.35,-88.02,-88.02,-2.53,-86.67,-2.05,1.65,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:02:56:954,38.903461,-77.007583,3,1,5035,3,5 MHz,0,0,0,-58.84,-58.84,359,1,287118,9.35,10,-95.61,-95.61,-21.08,-8.66,287118,9.35,-91.36,-91.36,-5.87,-89.93,-5.31,-4.14,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:02:56:954,38.903461,-77.007583,3,1,5110,4,10 MHz,0,0,0,-72.31,-72.31,411,1,287147,9.35,58,-105.3,-105.3,-16.33,-3.12,287151,9.35,-100.15,-100.15,-2.01,-101.34,-2.5,1.72,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:04:09:439,38.903602,-77.007393,4,2,5110,4,10 MHz,0,0,0,-72.91,-72.91,411,1,287123,9.35,58,-107.95,-107.95,-18.32,-5.19,287147,9.35,-102.56,-102.56,-2.78,-102.96,-3.24,0,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:04:09:439,38.903602,-77.007393,4,2,5035,3,5 MHz,0,0,0,-62.24,-62.24,359,1,287110,9.35,8,-92.25,-92.25,-16.58,-1.43,287106,9.35,-87.78,-87.78,-1.47,-87.7,-1.58,3.73,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:09:439,38.903602,-77.007393,4,2,5035,3,5 MHz,0,0,0,-62.24,-62.24,198,1,287110,9.35,0,-93.01,-93.01,-17.34,-5.45,287106,9.35,-92.14,-92.14,-5.83,-92.99,-6.87,-5.18,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:36:308,38.903743,-77.007202,5,3,5110,4,10 MHz,0,0,0,-72.01,-72.01,411,1,287119,9.35,50,-104.92,-104.92,-16.15,-2.67,287139,9.35,-101.46,-101.46,-2.43,-103.27,-3.91,-0.14,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
07/07/2026,14:05:36:308,38.903743,-77.007202,5,3,5035,3,5 MHz,0,0,0,-62.94,-62.94,198,1,287094,9.34,53,-92.11,-92.11,-13.81,0.24,287094,9.34,-89.74,-89.74,-2.71,-89.54,-2.64,0.69,4,2,0,2,54,13,Yes,36946948,260,310,1,20438,1,0,False,,,12,,48D9A000,684C424C14FD6233C40482352C6020610B089860D8304C7E84500E012CFE2000,,
07/07/2026,14:05:36:308,38.903743,-77.007202,5,3,5035,3,5 MHz,0,0,0,-62.94,-62.94,359,1,287098,9.35,16,-95.35,-95.35,-17.05,-3.78,287104,9.35,-91.3,-91.3,-4.26,-91.15,-4.24,-2.21,4,2,0,2,9,13,Yes,36946949,260,310,1,20438,1,0,False,,,12,,4825A000,684C424C14FD6233C40582352C6020610B089860DF704C7E84500E012CFDE000,,
07/07/2026,14:06:48:954,38.903883,-77.007012,6,4,5110,4,10 MHz,0,0,0,-72.91,-72.91,411,1,287109,9.35,66,-104.2,-104.2,-15.74,-2.14,287143,9.35,-98.94,-98.94,-2.41,-98.96,-2.44,1.24,4,3,0,2,8,13,Yes,167698963,410;100,310;313,1,4661,1,0,False,,,17,,6821A000,68CC42821989C402246B3FDC42702EA80C01840C22610B2E1792FF65146400002A0300C1C42D9FBC0000000000000000,,
