Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:57:051,38.903461,-77.007583,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:09:527,38.903602,-77.007393,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:36:605,38.903743,-77.007202,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:49:067,38.903883,-77.007012,6,4,5230,4,10 MHz,0,0,0,-72.6,-72.6,396,1,287115,9.35,2,-100.74,-100.74,-12.4,3.81,287119,9.35,-109.88,-109.88,-6.98,-109.7,-7.41,-6.29,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:08:22:983,38.904494,-77.006170,7,5,5230,4,10 MHz,0,0,0,-64,-64,396,1,287103,9.35,26,-94.22,-94.22,-14.04,0.58,287207,9.35,-100.07,-100.07,-6.4,-100.95,-8.85,-6.86,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:09:46:751,38.903884,-77.007010,8,6,5230,4,10 MHz,0,0,0,-73.61,-73.61,396,1,287093,9.34,18,-103.59,-103.59,-14.11,1.28,287089,9.34,-110.07,-110.07,-8.72,-107.28,-5.99,-6.21,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:11:19:182,38.904298,-77.006485,9,7,5230,4,10 MHz,0,0,0,-72.01,-72.01,396,1,287081,9.34,37,-104.03,-104.03,-15.52,-1.8,287081,9.34,-98.09,-98.09,-1.31,-98.43,-1.65,3.9,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:11:19:182,38.904298,-77.006485,9,7,5230,4,10 MHz,0,0,0,-72.01,-72.01,88,1,287082,9.34,0,-118.14,-118.14,-29.62,-18.59,287086,9.34,-107.02,-107.02,-10.2,-107.16,-10.41,-9.88,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:12:47:131,38.904166,-77.006710,10,8,5230,4,10 MHz,0,0,0,-70.21,-70.21,396,1,287071,9.34,45,-105.36,-105.36,-16.95,-2.77,287079,9.34,-103.31,-103.31,-2.93,-109.39,-8.08,-2.67,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:14:24:516,38.904793,-77.005847,11,9,5230,4,10 MHz,0,0,0,-66.72,-66.72,396,1,287055,9.34,42,-94.88,-94.88,-13.11,0.17,287059,9.34,-98.28,-98.28,-4.76,-96.48,-5.11,-3.31,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:14:24:516,38.904793,-77.005847,11,9,5230,4,10 MHz,0,0,0,-66.72,-66.72,88,1,287061,9.34,13,-105.96,-105.96,-24.2,-11.75,287065,9.34,-98.74,-98.74,-5.18,-99.07,-7.66,-5.47,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:15:57:839,38.904343,-77.006513,12,10,5230,4,10 MHz,0,0,0,-70.92,-70.92,396,1,287049,9.34,32,-108.31,-108.31,-20.72,-9.49,287073,9.34,-103.62,-103.62,-5.22,-106.78,-9.28,-6.03,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:15:57:839,38.904343,-77.006513,12,10,5230,4,10 MHz,0,0,0,-70.92,-70.92,397,1,287073,9.34,10,-111.88,-111.88,-24.28,-13.09,287061,9.34,-103.32,-103.32,-4.9,-106.28,-8.76,-5.54,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:15:57:839,38.904343,-77.006513,12,10,5230,4,10 MHz,0,0,0,-70.92,-70.92,88,1,287055,9.34,0,-115.05,-115.05,-27.45,-16.04,287063,9.34,-103.28,-103.28,-4.9,-107.09,-9.58,-5.86,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:17:36:822,38.904483,-77.006363,13,11,5230,4,10 MHz,0,0,0,-60.22,-60.22,396,1,287033,9.34,40,-95.77,-95.77,-18.35,-4.78,287045,9.34,-92.59,-92.59,-3.42,-94.2,-4.86,-1.9,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:17:36:822,38.904483,-77.006363,13,11,5230,4,10 MHz,0,0,0,-60.22,-60.22,397,1,287039,9.34,18,-100.96,-100.96,-23.54,-12.44,287051,9.34,-95.01,-95.01,-5.89,-100.27,-10.93,-6.84,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:17:36:822,38.904483,-77.006363,13,11,5230,4,10 MHz,0,0,0,-60.22,-60.22,88,1,287040,9.34,0,-108.2,-108.2,-30.77,-20.03,287050,9.34,-95.03,-95.03,-5.86,-100.81,-11.45,-6.96,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:19:13:185,38.905220,-77.005392,14,12,5230,4,10 MHz,0,0,0,-63.33,-63.33,397,1,287031,9.34,37,-101.38,-101.38,-20.97,-7.6,287039,9.34,-93.56,-93.56,-2.71,-95.45,-4.44,-0.88,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:19:13:185,38.905220,-77.005392,14,12,5230,4,10 MHz,0,0,0,-63.33,-63.33,396,1,287025,9.34,8,-101.92,-101.92,-21.52,-10.4,287029,9.34,-98.94,-98.94,-8.09,-100.38,-9.36,-8.03,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:19:13:185,38.905220,-77.005392,14,12,5230,4,10 MHz,0,0,0,-63.33,-63.33,291,1,287035,9.34,0,-109.93,-109.93,-29.52,-18.94,287031,9.34,-98.94,-98.94,-8.1,-99.78,-8.75,-7.73,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:19:13:185,38.905220,-77.005392,14,12,5230,4,10 MHz,0,0,0,-63.33,-63.33,88,1,287026,9.34,0,-112.08,-112.08,-31.67,-19.22,287038,9.34,-93.56,-93.56,-2.72,-100.3,-9.29,-3.08,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:20:56:452,38.904725,-77.006109,15,13,5230,4,10 MHz,0,0,0,-67.93,-67.93,397,1,287007,9.34,34,-102.18,-102.18,-18.17,-4.27,287003,9.34,-99.64,-99.64,-5.39,-99.35,-5.32,-3.86,4,3,0,2,148,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6A50E000,484C469016B041A2FA029181852020410308584502C74C1524A818030292C11C,,
07/07/2026,14:20:56:452,38.904725,-77.006109,15,13,5230,4,10 MHz,0,0,0,-67.93,-67.93,292,1,287023,9.34,2,-109.68,-109.68,-25.66,-13.37,287005,9.34,-99.69,-99.69,-5.44,-104.83,-10.77,-6.51,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:20:56:452,38.904725,-77.006109,15,13,5230,4,10 MHz,0,0,0,-67.93,-67.93,396,1,287009,9.34,5,-111.44,-111.44,-27.41,-17.25,287051,9.34,-103.36,-103.36,-9.1,-103.72,-9.68,-8.85,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:22:38:155,38.904274,-77.006733,16,14,5230,4,10 MHz,0,0,0,-61.23,-61.23,397,1,287003,9.34,29,-98.55,-98.55,-20.88,-7.55,287055,9.34,-95.49,-95.49,-4.18,-98.69,-8.39,-4.78,4,3,0,2,148,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6A50E000,484C469016B041A2FA029181852020410308584502C74C1524A818030292C11C,,
07/07/2026,14:22:38:155,38.904274,-77.006733,16,14,5230,4,10 MHz,0,0,0,-61.23,-61.23,292,1,287009,9.34,2,-101.93,-101.93,-24.26,-11.6,287055,9.34,-95.3,-95.3,-4.03,-99.4,-9.1,-4.92,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:22:38:155,38.904274,-77.006733,16,14,5230,4,10 MHz,0,0,0,-61.23,-61.23,396,1,286998,9.34,10,-104.33,-104.33,-26.67,-16.02,286998,9.34,-101.77,-101.77,-10.55,-101.36,-11.08,-10.46,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:24:21:537,38.903554,-77.007686,17,15,5230,4,10 MHz,0,0,0,-61.13,-61.13,397,1,286979,9.34,69,-94.4,-94.4,-15.83,-0.07,286995,9.34,-95.68,-95.68,-5.22,-96.94,-6.68,-4.62,4,3,0,2,148,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6A50E000,484C469016B041A2FA029181852020410308584502C74C1524A818030292C11C,,
07/07/2026,14:24:21:537,38.903554,-77.007686,17,15,5230,4,10 MHz,0,0,0,-61.13,-61.13,396,1,286990,9.34,8,-109.02,-109.02,-30.43,-20.58,287056,9.34,-97.22,-97.22,-6.78,-99.92,-9.64,-7.25,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:25:58:835,38.903450,-77.007787,18,16,5230,4,10 MHz,0,0,0,-72.63,-72.63,397,1,286969,9.34,26,-111.44,-111.44,-21.49,-7.32,286977,9.34,-100.56,-100.56,-2.44,-102.01,-3,0.67,4,3,0,2,148,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6A50E000,484C469016B041A2FA029181852020410308584502C74C1524A818030292C11C,,
07/07/2026,14:25:58:835,38.903450,-77.007787,18,16,5230,4,10 MHz,0,0,0,-72.63,-72.63,292,1,286985,9.34,5,-117.87,-117.87,-27.88,-14.58,286977,9.34,-100.59,-100.59,-2.45,-109.41,-10.33,-2.57,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:25:58:835,38.903450,-77.007787,18,16,5230,4,10 MHz,0,0,0,-72.63,-72.63,201,1,287005,9.34,0,-116.68,-116.68,-26.71,-16.73,287001,9.34,-105.88,-105.88,-7.75,-109.65,-10.57,-8.17,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:25:58:835,38.903450,-77.007787,18,16,5230,4,10 MHz,0,0,0,-72.63,-72.63,396,1,286974,9.34,18,-118.5,-118.5,-28.51,-18.57,287000,9.34,-105.9,-105.9,-7.77,-108.82,-9.74,-7.89,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:27:36:958,38.903734,-77.007307,19,17,5230,4,10 MHz,0,0,0,-64.52,-64.52,397,1,286957,9.34,72,-100.91,-100.91,-19.73,-5.67,286979,9.34,-94.84,-94.84,-3.25,-94.76,-3.14,-0.36,4,3,0,2,148,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:27:36:958,38.903734,-77.007307,19,17,5230,4,10 MHz,0,0,0,-64.52,-64.52,396,1,286956,9.34,50,-105.82,-105.82,-24.65,-14.28,286998,9.34,-99.74,-99.74,-8.17,-101.53,-9.92,-8.36,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:27:36:958,38.903734,-77.007307,19,17,5230,4,10 MHz,0,0,0,-64.52,-64.52,201,1,286992,9.34,0,-109.69,-109.69,-28.52,-18.62,286998,9.34,-99.74,-99.74,-8.17,-101.62,-10.01,-8.4,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:29:10:245,38.903202,-77.008056,20,18,5230,4,10 MHz,0,0,0,-58.33,-58.33,397,1,286945,9.34,61,-92.87,-92.87,-17.23,-2.09,286959,9.34,-87.47,-87.47,-2.78,-88.54,-3.13,0.13,4,3,0,2,148,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:29:10:245,38.903202,-77.008056,20,18,5230,4,10 MHz,0,0,0,-58.33,-58.33,396,1,286944,9.34,32,-98.57,-98.57,-22.93,-12.52,286952,9.34,-94.79,-94.79,-10.1,-95.65,-10.26,-9.73,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:30:56:621,38.902984,-77.008303,21,19,5230,4,10 MHz,0,0,0,-61.04,-61.04,397,1,286935,9.34,50,-95.81,-95.81,-16.93,-0.26,286943,9.34,-88.09,-88.09,-1.72,-88.83,-1.87,2.9,4,3,0,2,148,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:30:56:621,38.902984,-77.008303,21,19,5230,4,10 MHz,0,0,0,-61.04,-61.04,396,1,286933,9.34,5,-103.58,-103.58,-24.71,-14.23,286931,9.34,-91.85,-91.85,-5.49,-95.2,-8.25,-5.48,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:30:56:621,38.902984,-77.008303,21,19,5230,4,10 MHz,0,0,0,-61.04,-61.04,201,1,286968,9.34,0,-106.91,-106.91,-28.03,-17.98,286932,9.34,-91.95,-91.95,-5.58,-96.1,-9.05,-5.85,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:32:29:534,38.903406,-77.007770,22,20,5230,4,10 MHz,0,0,0,-73.94,-73.94,397,1,286923,9.34,34,-110.15,-110.15,-20.17,-7.4,286957,9.34,-108.99,-108.99,-8.53,-111.48,-9.56,-8.33,4,3,0,2,148,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6A50E000,484C469016B041A2FA029181852020410308584502C74C1524A818030292C11C,,
07/07/2026,14:32:29:534,38.903406,-77.007770,22,20,5230,4,10 MHz,0,0,0,-73.94,-73.94,396,1,286923,9.34,29,-113.73,-113.73,-23.74,-12.9,286937,9.34,-109.58,-109.58,-9.12,-112.11,-10.19,-9.02,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:34:09:572,38.903561,-77.007499,23,21,5230,4,10 MHz,0,0,0,-71.13,-71.13,397,1,286911,9.34,56,-107.4,-107.4,-19.72,-5.88,286919,9.34,-101.01,-101.01,-3.79,-100.19,-3.06,-0.76,4,3,0,2,148,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:34:09:572,38.903561,-77.007499,23,21,5230,4,10 MHz,0,0,0,-71.13,-71.13,396,1,286925,9.34,0,-114.1,-114.1,-26.4,-16.05,286925,9.34,-105.6,-105.6,-8.37,-106.15,-9,-8.04,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
