Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:58:016,38.903461,-77.007583,3,1,5330,4,10 MHz,0,0,0,-72.61,-72.61,411,1,287157,9.35,34,-107.6,-107.6,-17.8,-1.88,287169,9.35,-104.89,-104.89,-3.98,-104.93,-4.12,-1.88,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:04:09:718,38.903602,-77.007393,4,2,5330,4,10 MHz,0,0,0,-69.81,-69.81,411,1,287137,9.35,48,-109.86,-109.86,-22.3,-6.3,287157,9.35,-101.54,-101.54,-3.46,-102.79,-4.67,-1.83,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:05:38:402,38.903743,-77.007202,5,3,5330,4,10 MHz,0,0,0,-75.21,-75.21,411,1,287137,9.35,56,-107.06,-107.06,-16.67,-3.56,287131,9.35,-103.64,-103.64,-5.64,-102.2,-4.75,-3.56,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:05:38:402,38.903743,-77.007202,5,3,5330,4,10 MHz,0,0,0,-75.21,-75.21,293,1,287141,9.35,16,-118.05,-118.05,-27.66,-16.84,287145,9.35,-104.23,-104.23,-6.23,-104.61,-7.16,-5.66,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:49:307,38.903883,-77.007012,6,4,5330,4,10 MHz,0,0,0,-75.41,-75.41,411,1,287101,9.35,40,-114.49,-114.49,-23.45,-11.6,287109,9.35,-101.19,-101.19,-3.36,-101.83,-4.32,-1.52,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:06:49:307,38.903883,-77.007012,6,4,5330,4,10 MHz,0,0,0,-75.41,-75.41,293,1,287111,9.35,21,-116.93,-116.93,-25.88,-15.26,287141,9.35,-103.66,-103.66,-5.84,-105.4,-7.92,-5.78,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:08:24:267,38.904494,-77.006170,7,5,5330,4,10 MHz,0,0,0,-62.01,-62.01,281,1,287139,9.35,5,-92.07,-92.07,-14.51,-2.15,287155,9.35,-89.7,-89.7,-6.28,-92.37,-9.12,-6.65,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:08:24:267,38.904494,-77.006170,7,5,5330,4,10 MHz,0,0,0,-62.01,-62.01,411,1,287087,9.34,61,-97.34,-97.34,-19.78,-6.94,287107,9.35,-86.17,-86.17,-2.74,-85.61,-2.44,0.88,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:08:24:267,38.904494,-77.006170,7,5,5330,4,10 MHz,0,0,0,-62.01,-62.01,293,1,287102,9.35,26,-101.12,-101.12,-23.56,-13.36,287134,9.35,-89.68,-89.68,-6.24,-91.83,-8.63,-6.41,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:09:47:003,38.903884,-77.007010,8,6,5330,4,10 MHz,0,0,0,-73.42,-73.42,281,1,287127,9.35,21,-101.3,-101.3,-12.63,0.37,287123,9.35,-101.93,-101.93,-4.51,-101.71,-4.57,-2.66,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:09:47:003,38.903884,-77.007010,8,6,5330,4,10 MHz,0,0,0,-73.42,-73.42,411,1,287089,9.34,10,-110.38,-110.38,-21.71,-8.59,287099,9.35,-101.88,-101.88,-4.45,-102.64,-5.55,-3.33,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:09:47:003,38.903884,-77.007010,8,6,5330,4,10 MHz,0,0,0,-73.42,-73.42,293,1,287089,9.34,5,-112.78,-112.78,-24.12,-14.33,287119,9.35,-101.99,-101.99,-4.56,-107.32,-10.18,-5.53,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:11:20:735,38.904298,-77.006485,9,7,5330,4,10 MHz,0,0,0,-66.31,-66.31,411,1,287073,9.34,48,-94.78,-94.78,-12.3,1.18,287071,9.34,-93.58,-93.58,-3.38,-91.49,-2.73,0.03,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:11:20:735,38.904298,-77.006485,9,7,5330,4,10 MHz,0,0,0,-66.31,-66.31,293,1,287077,9.34,21,-103.43,-103.43,-20.94,-7.79,287091,9.34,-96.18,-96.18,-5.98,-94.2,-5.44,-4.28,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:11:20:735,38.904298,-77.006485,9,7,5330,4,10 MHz,0,0,0,-66.31,-66.31,281,1,287115,9.35,5,-103.59,-103.59,-21.12,-8.12,287093,9.34,-96.14,-96.14,-5.94,-99.76,-10.89,-7.37,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:12:48:725,38.904166,-77.006710,10,8,5330,4,10 MHz,0,0,0,-66.12,-66.12,281,1,287101,9.35,2,-94.27,-94.27,-11.36,2.47,287075,9.34,-95.7,-95.7,-4.79,-96.39,-5.59,-3.61,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:12:48:725,38.904166,-77.006710,10,8,5330,4,10 MHz,0,0,0,-66.12,-66.12,411,1,287065,9.34,34,-102.39,-102.39,-19.49,-6.03,287077,9.34,-95,-95,-4.07,-95.74,-4.95,-2.59,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:12:48:725,38.904166,-77.006710,10,8,5330,4,10 MHz,0,0,0,-66.12,-66.12,293,1,287063,9.34,10,-108.73,-108.73,-25.83,-16.5,287075,9.34,-95.73,-95.73,-4.8,-98.47,-7.69,-4.79,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:14:28:345,38.904948,-77.005678,11,9,5330,4,10 MHz,0,0,0,-63.52,-63.52,411,1,287043,9.34,32,-92.64,-92.64,-14.86,-0.77,287065,9.34,-84.93,-84.93,-3.38,-85.51,-3.4,-0.74,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:14:28:345,38.904948,-77.005678,11,9,5330,4,10 MHz,0,0,0,-63.52,-63.52,293,1,287051,9.34,24,-93.77,-93.77,-16,-4.22,287083,9.34,-84.77,-84.77,-3.22,-86.37,-4.26,-1.25,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:14:28:345,38.904948,-77.005678,11,9,5330,4,10 MHz,0,0,0,-63.52,-63.52,281,1,287093,9.34,50,-97.25,-97.25,-19.45,-8.77,287083,9.34,-84.81,-84.81,-3.23,-91.81,-9.56,-3.53,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:15:59:670,38.904343,-77.006513,12,10,5330,4,10 MHz,0,0,0,-57.72,-57.72,281,1,287079,9.34,2,-86.95,-86.95,-11.68,3.64,287083,9.34,-84.66,-84.66,-2.62,-84.06,-2.81,0.59,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:15:59:670,38.904343,-77.006513,12,10,5330,4,10 MHz,0,0,0,-57.72,-57.72,293,1,287041,9.34,21,-95.13,-95.13,-19.87,-9.18,287083,9.34,-84.66,-84.66,-2.62,-86.81,-5.58,-1.78,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:15:59:670,38.904343,-77.006513,12,10,5330,4,10 MHz,0,0,0,-57.72,-57.72,411,1,287029,9.34,32,-105.74,-105.74,-30.48,-18.64,287053,9.34,-90,-90,-7.96,-88.96,-7.73,-7.05,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:17:38:251,38.904483,-77.006363,13,11,5330,4,10 MHz,0,0,0,-52.43,-52.43,281,1,287067,9.34,18,-83.72,-83.72,-14.19,-2.24,287065,9.34,-79.36,-79.36,-3.16,-81.79,-6.1,-2.55,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:17:38:251,38.904483,-77.006363,13,11,5330,4,10 MHz,0,0,0,-52.43,-52.43,411,1,287014,9.34,61,-87.85,-87.85,-18.31,-4.07,287028,9.34,-79.91,-79.91,-3.71,-80.77,-5.1,-2.43,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:17:38:251,38.904483,-77.006363,13,11,5330,4,10 MHz,0,0,0,-52.43,-52.43,293,1,287029,9.34,24,-87.47,-87.47,-17.93,-7.16,287067,9.34,-79.4,-79.4,-3.2,-79.79,-4.12,-1.22,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:17:38:251,38.904483,-77.006363,13,11,5330,4,10 MHz,0,0,0,-52.43,-52.43,31,1,287067,9.34,0,-98.64,-98.64,-29.1,-17.76,287073,9.34,-87.53,-87.53,-11.32,-86.53,-10.84,-10.71,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:19:15:073,38.905220,-77.005392,14,12,5330,4,10 MHz,0,0,0,-55.84,-55.84,411,1,287001,9.34,53,-92.46,-92.46,-19.68,-2.11,287011,9.34,-83.97,-83.97,-2.51,-81.99,-1.9,1.92,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:19:15:073,38.905220,-77.005392,14,12,5330,4,10 MHz,0,0,0,-55.84,-55.84,281,1,287055,9.34,2,-89.17,-89.17,-16.39,-5.71,287047,9.34,-88.89,-88.89,-7.45,-89.05,-8.83,-7.47,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:19:15:073,38.905220,-77.005392,14,12,5330,4,10 MHz,0,0,0,-55.84,-55.84,293,1,287015,9.34,10,-95.88,-95.88,-23.1,-13.39,287047,9.34,-88.93,-88.93,-7.47,-88.92,-8.84,-7.5,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:20:57:634,38.904725,-77.006109,15,13,5330,4,10 MHz,0,0,0,-54.85,-54.85,411,1,286991,9.34,18,-90.06,-90.06,-18.25,-1.93,286999,9.34,-78.73,-78.73,-0.94,-79.61,-1.79,4.38,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:20:57:634,38.904725,-77.006109,15,13,5330,4,10 MHz,0,0,0,-54.85,-54.85,281,1,287043,9.34,0,-87.36,-87.36,-15.56,-4.61,286999,9.34,-83.16,-83.16,-5.39,-86.4,-8.49,-5.58,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:20:57:634,38.904725,-77.006109,15,13,5330,4,10 MHz,0,0,0,-54.85,-54.85,293,1,287005,9.34,2,-92.64,-92.64,-20.83,-11.12,286997,9.34,-83.09,-83.09,-5.3,-85.14,-7.32,-5,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:20:57:634,38.904725,-77.006109,15,13,5330,4,10 MHz,0,0,0,-54.85,-54.85,31,1,287043,9.34,0,-102.61,-102.61,-30.8,-20.12,287073,9.34,-89.45,-89.45,-11.63,-88.95,-11.02,-10.99,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:22:39:424,38.904274,-77.006733,16,14,5330,4,10 MHz,0,0,0,-44.25,-44.25,411,1,286979,9.34,16,-73.08,-73.08,-13.57,0.64,286979,9.34,-68.58,-68.58,-1.85,-67.86,-1.58,3.15,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:22:39:424,38.904274,-77.006733,16,14,5330,4,10 MHz,0,0,0,-44.25,-44.25,281,1,287031,9.34,0,-74.35,-74.35,-14.82,-1.94,287033,9.34,-72.27,-72.27,-5.58,-73.53,-7.07,-5.12,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:22:39:424,38.904274,-77.006733,16,14,5330,4,10 MHz,0,0,0,-44.25,-44.25,293,1,286978,9.34,13,-90.56,-90.56,-31.05,-20.57,287008,9.34,-72.37,-72.37,-5.64,-74.56,-8.27,-5.82,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:22:39:424,38.904274,-77.006733,16,14,5330,4,10 MHz,0,0,0,-44.25,-44.25,31,1,287029,9.34,0,-91.32,-91.32,-31.76,-21.04,287017,9.34,-78.43,-78.43,-11.71,-76.18,-9.63,-10.12,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:24:21:830,38.903554,-77.007686,17,15,5330,4,10 MHz,0,0,0,-56.96,-56.96,411,1,286969,9.34,50,-83.85,-83.85,-12.54,3.88,287005,9.34,-76.51,-76.51,-1.48,-75.75,-1.42,3.99,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:24:21:830,38.903554,-77.007686,17,15,5330,4,10 MHz,0,0,0,-56.96,-56.96,281,1,287036,9.34,0,-95.89,-95.89,-24.57,-13.66,287006,9.34,-82.37,-82.37,-7.33,-85.14,-10.74,-8.22,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:24:21:830,38.903554,-77.007686,17,15,5330,4,10 MHz,0,0,0,-56.96,-56.96,293,1,286987,9.34,18,-100.06,-100.06,-28.75,-18.02,287007,9.34,-82.26,-82.26,-7.24,-85.14,-10.83,-8.2,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:26:00:722,38.903450,-77.007787,18,16,5330,4,10 MHz,0,0,0,-66.75,-66.75,281,1,287007,9.34,0,-92.05,-92.05,-11.18,2.89,287007,9.34,-90.14,-90.14,-3.13,-91.45,-4.57,-1.46,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
