Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:07:422,38.903461,-77.007583,3,1,9260,4,10 MHz,0,0,0,-72.91,-72.91,411,1,287147,9.35,24,-107.67,-107.67,-17.16,-1.79,287159,9.35,-100.24,-100.24,-1.96,-100.28,-2.08,2.26,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:04:11:695,38.903602,-77.007393,4,2,9260,4,10 MHz,0,0,0,-76.41,-76.41,411,1,287149,9.35,40,-111.4,-111.4,-19.51,-7.06,287143,9.35,-97.54,-97.54,-2.03,-98.2,-2.17,2.07,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:05:46:854,38.903743,-77.007202,5,3,9260,4,10 MHz,0,0,0,-75.51,-75.51,411,1,287125,9.35,32,-112.35,-112.35,-20.05,-6.71,287123,9.35,-106.61,-106.61,-4.97,-105.43,-5.23,-3.53,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:06:51:544,38.903883,-77.007012,6,4,9260,4,10 MHz,0,0,0,-74.91,-74.91,281,1,287151,9.35,16,-107.29,-107.29,-16.25,-4.66,287149,9.35,-103.76,-103.76,-6.37,-105.86,-8.38,-6.34,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:51:544,38.903883,-77.007012,6,4,9260,4,10 MHz,0,0,0,-74.91,-74.91,411,1,287101,9.35,32,-112.04,-112.04,-21.01,-8.27,287107,9.35,-100.94,-100.94,-3.58,-101.18,-3.75,-1.22,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:06:51:544,38.903883,-77.007012,6,4,9260,4,10 MHz,0,0,0,-74.91,-74.91,293,1,287113,9.35,21,-118.68,-118.68,-27.64,-17.5,287139,9.35,-103.73,-103.73,-6.36,-105.09,-7.63,-5.96,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:08:36:338,38.904355,-77.006319,7,5,9260,4,10 MHz,0,0,0,-63.41,-63.41,281,1,287139,9.35,42,-96.33,-96.33,-16.16,-4.52,287107,9.35,-90.03,-90.03,-3.92,-95.43,-8.65,-4.07,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:08:36:338,38.904355,-77.006319,7,5,9260,4,10 MHz,0,0,0,-63.41,-63.41,411,1,287095,9.34,24,-100.86,-100.86,-20.69,-7.03,287099,9.35,-88.59,-88.59,-2.49,-91.31,-4.5,-0.56,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:08:36:338,38.904355,-77.006319,7,5,9260,4,10 MHz,0,0,0,-63.41,-63.41,293,1,287099,9.35,18,-102.77,-102.77,-22.59,-12.11,287107,9.35,-89.99,-89.99,-3.89,-92.36,-5.54,-2.71,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:09:48:958,38.903884,-77.007010,8,6,9260,4,10 MHz,0,0,0,-73.92,-73.92,281,1,287127,9.35,5,-106.07,-106.07,-15.61,-3.22,287091,9.34,-105.16,-105.16,-4.26,-104.92,-4.75,-2.63,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:09:48:958,38.903884,-77.007010,8,6,9260,4,10 MHz,0,0,0,-73.92,-73.92,411,1,287091,9.34,5,-117.85,-117.85,-27.38,-15.03,287091,9.34,-106.59,-106.59,-5.75,-109.42,-9.26,-6.4,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:09:48:958,38.903884,-77.007010,8,6,9260,4,10 MHz,0,0,0,-73.92,-73.92,293,1,287089,9.34,5,-120.02,-120.02,-29.54,-19.08,287093,9.34,-105.12,-105.12,-4.29,-105.36,-5.2,-2.99,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:11:31:985,38.904298,-77.006485,9,7,9260,4,10 MHz,0,0,0,-66.01,-66.01,411,1,287067,9.34,53,-103.63,-103.63,-20.76,-7.07,287085,9.34,-90.86,-90.86,-1.4,-94.26,-3.5,1.86,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:11:31:985,38.904298,-77.006485,9,7,9260,4,10 MHz,0,0,0,-66.01,-66.01,293,1,287075,9.34,18,-104.07,-104.07,-21.21,-9.75,287079,9.34,-94.15,-94.15,-4.69,-96.38,-5.61,-3.44,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:11:31:985,38.904298,-77.006485,9,7,9260,4,10 MHz,0,0,0,-66.01,-66.01,281,1,287113,9.35,0,-108.11,-108.11,-25.24,-14.19,287081,9.34,-94.14,-94.14,-4.68,-101.62,-10.84,-5.23,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:12:52:832,38.904166,-77.006710,10,8,9260,4,10 MHz,0,0,0,-72.62,-72.62,281,1,287103,9.35,2,-103.43,-103.43,-16.12,-3.96,287103,9.35,-97.36,-97.36,-4.2,-102.34,-8.56,-4.36,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:12:52:832,38.904166,-77.006710,10,8,9260,4,10 MHz,0,0,0,-72.62,-72.62,411,1,287055,9.34,34,-105.45,-105.45,-18.16,-5.41,287059,9.34,-96.1,-96.1,-2.98,-96.68,-3,0.04,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:12:52:832,38.904166,-77.006710,10,8,9260,4,10 MHz,0,0,0,-72.62,-72.62,293,1,287066,9.34,21,-107.04,-107.04,-19.74,-8.55,287106,9.35,-97.35,-97.35,-4.2,-100.29,-6.62,-3.6,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:14:39:003,38.904948,-77.005678,11,9,9260,4,10 MHz,0,0,0,-69.02,-69.02,281,1,287091,9.34,5,-97.98,-97.98,-14,-1.05,287055,9.34,-92.43,-92.43,-2.96,-96.49,-6.84,-2.51,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
07/07/2026,14:14:39:003,38.904948,-77.005678,11,9,9260,4,10 MHz,0,0,0,-69.02,-69.02,411,1,287051,9.34,29,-99.45,-99.45,-15.48,-2.51,287051,9.34,-94.84,-94.84,-5.39,-95.88,-6.25,-4.47,4,3,0,2,221,0,No,167699163,410;100,310;313,1,4661,1,0,False,,,14,,6B740000,48CC42821989C402246B3FDC5B7031A3006103089842F782A495018060610000,,
07/07/2026,14:14:39:003,38.904948,-77.005678,11,9,9260,4,10 MHz,0,0,0,-69.02,-69.02,293,1,287051,9.34,24,-102.52,-102.52,-18.55,-7.37,287055,9.34,-92.4,-92.4,-2.95,-93.73,-4.11,-0.9,4,3,0,2,35,0,No,167699161,410;100,310;313,1,4661,1,0,False,,,14,,688C0000,48CC42821989C402246B3FDC5B3031A3006103089842C782A495018060610000,,
07/07/2026,14:16:05:516,38.904343,-77.006513,12,10,9260,4,10 MHz,0,0,0,-63.02,-63.02,281,1,287077,9.34,2,-86.74,-86.74,-10.1,5.52,287069,9.34,-86.72,-86.72,-2.74,-85.9,-2.72,0.57,2,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:16:05:516,38.904343,-77.006513,12,10,9260,4,10 MHz,0,0,0,-63.02,-63.02,31,1,287077,9.34,2,-96.89,-96.89,-20.24,-7.78,287077,9.34,-92.37,-92.37,-8.39,-90.23,-7.06,-6.79,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:16:05:516,38.904343,-77.006513,12,10,9260,4,10 MHz,0,0,0,-63.02,-63.02,293,1,287039,9.34,24,-96.53,-96.53,-19.89,-10.43,287067,9.34,-86.76,-86.76,-2.75,-89.08,-5.93,-2.14,4,3,0,2,35,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:16:05:516,38.904343,-77.006513,12,10,9260,4,10 MHz,0,0,0,-63.02,-63.02,411,1,287028,9.34,32,-103.79,-103.79,-27.15,-14.72,287058,9.34,-91.19,-91.19,-7.18,-90.74,-7.59,-6.53,4,3,0,2,221,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:17:49:870,38.904483,-77.006363,13,11,9260,4,10 MHz,0,0,0,-51.13,-51.13,281,1,287065,9.34,2,-82.06,-82.06,-14.91,-3.56,287027,9.34,-77.62,-77.62,-3.38,-80.7,-6.6,-2.94,2,3,0,2,35,0,No,166705624,410;100,310;313,0,4670,1,0,False,,,14,,688C0000,48CC42820989C402247D3DF73B1031A3006103089842F982A495018060610000,,
