Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:07:538,38.903461,-77.007583,3,1,9685,3,5 MHz,0,0,0,-83.5,-83.5,411,1,287158,9.35,29,-119.88,-119.88,-22.92,-11.16,287138,9.35,-115.79,-115.79,-7.75,-114.92,-8.12,-7.2,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:12:412,38.903602,-77.007393,4,2,9685,3,5 MHz,0,0,0,-82.9,-82.9,411,1,287138,9.35,32,-114.83,-114.83,-18.31,-6.51,287146,9.35,-114.1,-114.1,-7.11,-111.97,-6.08,-5.4,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:46:978,38.903743,-77.007202,5,3,9685,3,5 MHz,0,0,0,-82.8,-82.8,411,1,287126,9.35,16,-116.41,-116.41,-19.68,-6.8,287134,9.35,-111.5,-111.5,-4.84,-114.12,-7.35,-4.61,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:52:305,38.903883,-77.007012,6,4,9685,3,5 MHz,0,0,0,-82.5,-82.5,411,1,287114,9.35,48,-108.35,-108.35,-13.31,-0.06,287110,9.35,-108.06,-108.06,-3.96,-105.88,-3.37,-1.11,2,2,0,2,40,0,No,167699134,410;100,310;313,1,4661,0,0,False,,,29,,48A00000,68CC42821989C402246B3FDC57C03EAE0C01840C22610BA38400000000000000,,
07/07/2026,14:08:37:031,38.904355,-77.006319,7,5,9685,3,5 MHz,0,0,0,-74.1,-74.1,411,1,287102,9.35,26,-101.93,-101.93,-14.39,-0.56,287102,9.35,-94.6,-94.6,-1.54,-95,-2.21,2.66,2,2,0,2,40,0,No,,,,,,,,,,,,,,,,
07/07/2026,14:09:49:328,38.903884,-77.007010,8,6,9685,3,5 MHz,0,0,0,-85.1,-85.1,411,1,287090,9.34,32,-116.48,-116.48,-19.18,-7.34,287090,9.34,-111.29,-111.29,-6.29,-115.17,-9.2,-6.47,2,2,0,2,40,0,No,167699134,410;100,310;313,1,4661,0,0,False,,,29,,48A00000,68CC42821989C402246B3FDC57C03EAE0C01840C22610BA38400000000000000,,
07/07/2026,14:09:49:328,38.903884,-77.007010,8,6,9685,3,5 MHz,0,0,0,-85.1,-85.1,174,1,287158,9.35,0,-118.02,-118.02,-20.7,-9.22,287090,9.34,-111.18,-111.18,-6.28,-113.65,-7.76,-5.88,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:09:49:328,38.903884,-77.007010,8,6,9685,3,5 MHz,0,0,0,-85.1,-85.1,293,1,287094,9.34,0,-117.72,-117.72,-20.42,-10.1,287090,9.34,-108.9,-108.9,-3.93,-109.94,-4.04,-1.76,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:11:32:124,38.904298,-77.006485,9,7,9685,3,5 MHz,0,0,0,-77.4,-77.4,411,1,287070,9.34,21,-104.47,-104.47,-15.32,-1.73,287074,9.34,-98.6,-98.6,-2.51,-99.15,-2.96,0.58,2,2,0,2,40,0,No,167699134,410;100,310;313,1,4661,0,0,False,,,29,,48A00000,68CC42821989C402246B3FDC57C03EAE0C01840C22610BA38400000000000000,,
07/07/2026,14:11:32:124,38.904298,-77.006485,9,7,9685,3,5 MHz,0,0,0,-77.4,-77.4,293,1,287078,9.34,16,-105.47,-105.47,-16.32,-4.15,287078,9.34,-100.69,-100.69,-4.59,-104.7,-8.51,-4.88,2,,,,,,,,,,,,,,,,,,,,,,
