Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:09:301,38.903461,-77.007583,3,1,66786,6,20 MHz,0,0,0,-78,-78,496,1,287127,9.35,5,-98.9,-98.9,-6.91,14.13,287097,9.35,-102.19,-102.19,-0.21,-101.51,-0.41,11.09,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:03:09:301,38.903461,-77.007583,3,1,66786,6,20 MHz,0,0,0,-78,-78,193,1,287110,9.35,45,-114.58,-114.58,-22.59,-15.68,287098,9.35,-102.18,-102.18,-0.21,-110.5,-9.41,-0.15,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:03:09:301,38.903461,-77.007583,3,1,66786,6,20 MHz,0,0,0,-78,-78,191,1,287128,9.35,0,-127,-127,-35,-17.32,287128,9.35,-112.78,-112.78,-10.81,-113.17,-12.08,-11.14,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:09:301,38.903461,-77.007583,3,1,66611,5,15 MHz,0,0,0,-64.91,-64.91,331,1,287131,9.35,5,-96.73,-96.73,-12.05,26.4,287131,9.35,-91.56,-91.56,0,-91.51,-0.01,25.92,2,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:03:09:301,38.903461,-77.007583,3,1,66986,4,10 MHz,0,0,0,-71.6,-71.6,186,1,287129,9.35,5,-92.54,-92.54,-5.89,31.04,287129,9.35,-95.78,-95.78,-0.07,-95.88,-0.08,17.33,1,3,0,2,23,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,685C0000,68CC42821989C402246B415D7BF02EBF8801840C2271C0F04C01308000000000,,
07/07/2026,14:04:15:329,38.903602,-77.007393,4,2,66986,4,10 MHz,0,0,0,-72.1,-72.1,186,1,287117,9.35,10,-97.94,-97.94,-5.19,27.6,287123,9.35,-99.5,-99.5,-0.22,-99.44,-0.23,12.65,1,3,0,2,23,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,685C0000,68CC42821989C402246B415D7BF02EBF8801840C2271C0F04C01308000000000,,
07/07/2026,14:04:15:329,38.903602,-77.007393,4,2,66786,6,20 MHz,0,0,0,-72.2,-72.2,496,1,287121,9.35,9,-105.37,-105.37,-11.92,7.47,287113,9.35,-103.3,-103.3,-0.4,-103.61,-0.6,9.14,4,5,0,2,82,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9FC00000,,
07/07/2026,14:04:15:329,38.903602,-77.007393,4,2,66786,6,20 MHz,0,0,0,-72.2,-72.2,193,1,287102,9.35,45,-113.7,-113.7,-20.25,-8.42,287114,9.35,-103.3,-103.3,-0.4,-111.5,-8.5,0.53,4,5,0,2,31,0,No,33510401,260,310,1,20438,1,0,False,,,4,,A87C0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C8000,,
07/07/2026,14:04:15:329,38.903602,-77.007393,4,2,66786,6,20 MHz,0,0,0,-72.2,-72.2,191,1,287121,9.35,0,-127.32,-127.32,-33.89,-22.44,287110,9.35,-113.35,-113.35,-10.45,-114.13,-11.12,-10.38,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:15:329,38.903602,-77.007393,4,2,66611,5,15 MHz,0,0,0,-66.71,-66.71,331,1,287122,9.35,2,-97.83,-97.83,-11.77,26.21,287124,9.35,-94.46,-94.46,-0.03,-94.43,-0.04,20.35,2,,,,,,,,,,,,,,,,,,,,,,
