Date,Time,Latitude,Longitude,Cell ID,Carrier RSSI Antenna Port 0,Carrier RSSI Antenna Port 1,Carrier RSSI Antenna Port 2,Carrier RSSI Antenna Port 3,DwPTS Symbol,UL/DL Config,Sync Signal - Timeoffset,Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,Ref Signal - Timeoffset,Ref Signal - Delay Spread,Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,PBCH-Received Power,PBCH-Received Quality,PBCH-CINR,PBCH-Block Error Rate,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,Loop Count,Absolute Time Stamp Date,Absolute Time Stamp Time,NID,Adjusted Ref Signal - Received Power,Antenna Gain,Cable Loss,MIB,SIB1,SI,Rank,Adjusted Ref Signal - Guard Period Power,Special Subframe Config,DwPTS,GP,UpPTS,Channel Style,Bandwidth,DSS,Frequency Offset
07/07/2026,14:03:07:969,38.903461,-77.007583,331,-62.1,,,,,,287132,-87.97,0,-87.92,0,27.2,287132,1,-93.81,-12.29,17.43,-91.61,-0.06,18.05,0,,4,0,0,64,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,3,,,110;1,-93.81,0,0,81000000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C060000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:04:12:807,38.903602,-77.007393,331,-68.4,,,,,,287124,-96.74,-0.05,-96.74,-0.05,18.96,287123,4,-100.3,-12.35,17.62,-100.64,-0.09,16.39,0,,4,0,0,149,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,4,,,110;1,-100.3,0,0,82540000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C06C000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:05:47:354,38.903743,-77.007202,331,-62.9,,,,,,287111,-93.17,-0.01,-93.15,-0.01,24.44,287113,0,-96.09,-13.3,17.95,-95.11,-0.06,18.15,0,,4,0,0,209,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,5,,,110;1,-96.09,0,0,83440000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C07E000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:06:52:801,38.903883,-77.007012,331,-59.3,,,,,,287106,-88.61,-0.01,-88.55,0,26.43,287101,4,-92.55,-13.42,17.53,-92.25,-0.06,18.19,0,,4,0,0,53,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,6,,,110;1,-92.55,0,0,80D40000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C08C000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:08:37:418,38.904355,-77.006319,331,-42,,,,,,287086,-69.5,-0.09,-69.69,-0.08,16.78,287088,1,-74.05,-12.02,15.66,-73.27,-0.12,15.4,0,,4,0,0,109,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,7,,,110;1,-74.05,0,0,81B40000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0A0000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:09:49:704,38.903884,-77.007010,331,-67.41,,,,,,287084,-94.94,-0.04,-94.95,-0.03,20.22,287083,9,-100.32,-13.2,19.18,-98.74,-0.04,19.96,0,,4,0,0,124,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,8,,,110;1,-100.32,0,0,81F00000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0AE000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:11:32:508,38.904298,-77.006485,331,-56.41,,,,,,287068,-93.75,-0.03,-93.71,-0.03,21.16,287070,8,-90.28,-13.12,22.02,-97.24,-0.09,16.78,0,,4,0,0,134,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,9,,,110;1,-90.28,0,0,82180000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0C2000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:12:54:237,38.904166,-77.006710,331,-62.31,,,,,,287072,-95.36,-0.04,-95.32,-0.06,18.76,287059,12,-95.22,-12.54,23.81,-96.92,-0.02,22.3,0,,4,0,0,129,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,10,,,110;1,-95.22,0,0,82040000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0D2000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:14:39:910,38.904948,-77.005678,331,-59.31,,,,,,287052,-83.96,-0.01,-83.98,0,26.52,287050,6,-87.88,-10.15,28.33,-87.84,0,26.89,0,,4,0,0,211,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,11,,,110;1,-87.88,0,0,834C0000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0E6000000000,,,,,,,,5,15 MHz,1,
07/07/2026,14:16:07:480,38.904343,-77.006513,331,-56.21,,,,,,287040,-81.25,-0.01,-81.21,-0.01,26.05,287039,0,-85.7,-10.79,28.71,-85.05,0,27.82,0,,4,0,0,96,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,12,,,110;1,-85.7,0,0,81800000,684C469016B001A5B80C9206A18880840C22AAC131FA1010096C0F8000000000,,,,,,,,5,15 MHz,1,
