Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:03:11:216,38.903461,-77.007583,3,1,70401,3,5 MHz,0,0,0,-60.34,-60.34,198,1,287114,9.35,16,-93.23,-93.23,-17.77,-4.43,287122,9.35,-86.98,-86.98,-2.13,-86.43,-2.18,1.9,4,2,0,2,54,13,Yes,36946948,260,310,1,20438,1,0,False,,,12,,48D9A000,684C424C14FD6233C40482352C6020610B089860D8304C7E84500E012CFE2000,,
07/07/2026,14:03:11:216,38.903461,-77.007583,3,1,70401,3,5 MHz,0,0,0,-60.34,-60.34,359,1,287114,9.35,8,-94.17,-94.17,-18.7,-6.39,287118,9.35,-89.04,-89.04,-4.18,-88.74,-4.5,-2.36,4,2,0,2,9,13,Yes,36946949,260,310,1,20438,1,0,False,,,12,,4825A000,684C424C14FD6233C40582352C6020610B089860DF704C7E84500E012CFDE000,,
07/07/2026,14:04:25:807,38.903602,-77.007393,4,2,70401,3,5 MHz,0,0,0,-61.04,-61.04,359,1,287106,9.35,10,-90.91,-90.91,-16.35,-1.55,287118,9.35,-86.97,-86.97,-2.77,-88.48,-3.88,-0.5,4,2,0,2,9,13,Yes,36946949,260,310,1,20438,1,0,False,,,12,,4825A000,684C424C14FD6233C40582352C6020610B089860DF704C7E84500E012CFDE000,,
07/07/2026,14:04:25:807,38.903602,-77.007393,4,2,70401,3,5 MHz,0,0,0,-61.04,-61.04,198,1,287102,9.35,5,-94.11,-94.11,-19.54,-7.52,287114,9.35,-86.56,-86.56,-2.36,-88.06,-3.45,0.32,4,2,0,2,54,13,Yes,36946948,260,310,1,20438,1,0,False,,,12,,48D9A000,684C424C14FD6233C40482352C6020610B089860D8304C7E84500E012CFE2000,,
07/07/2026,14:05:50:178,38.903743,-77.007202,5,3,70401,3,5 MHz,0,0,0,-63.34,-63.34,198,1,287094,9.34,45,-93.89,-93.89,-15.89,0.2,287102,9.35,-91.18,-91.18,-2.09,-90.29,-1.88,2.37,4,2,0,2,54,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:05:50:178,38.903743,-77.007202,5,3,70401,3,5 MHz,0,0,0,-63.34,-63.34,359,1,287094,9.34,5,-99.3,-99.3,-21.3,-9.99,287098,9.35,-94.2,-94.2,-5.11,-93.62,-5.22,-3.6,4,2,0,2,9,13,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:07:06:038,38.903883,-77.007012,6,4,70401,3,5 MHz,0,0,0,-66.34,-66.34,198,1,287086,9.34,29,-95.14,-95.14,-14.79,2.8,287082,9.34,-89.54,-89.54,-1.06,-90.07,-1.18,5.3,4,2,0,2,54,13,Yes,36946948,260,310,1,20438,1,0,False,,,12,,48D9A000,684C424C14FD6233C40482352C6020610B089860D8304C7E84500E012CFE2000,,
07/07/2026,14:07:06:038,38.903883,-77.007012,6,4,70401,3,5 MHz,0,0,0,-66.34,-66.34,359,1,287086,9.34,0,-106.8,-106.8,-26.44,-15.72,287082,9.34,-93.74,-93.74,-5.25,-98.56,-9.65,-5.81,4,2,0,2,9,13,Yes,36946949,260,310,1,20438,1,0,False,,,12,,4825A000,684C424C14FD6233C40582352C6020610B089860DF704C7E84500E012CFDE000,,
07/07/2026,14:08:44:938,38.904355,-77.006319,7,5,70401,3,5 MHz,0,0,0,-69.54,-69.54,198,1,287078,9.34,18,-91.87,-91.87,-11.07,4.61,287090,9.34,-90.84,-90.84,-1.19,-91.64,-1.36,4.66,4,2,0,2,54,13,Yes,36946948,260,310,1,20438,1,0,False,,,12,,48D9A000,684C424C14FD6233C40482352C6020610B089860D8304C7E84500E012CFE2000,,
07/07/2026,14:08:44:938,38.904355,-77.006319,7,5,70401,3,5 MHz,0,0,0,-69.54,-69.54,359,1,287072,9.34,26,-106.98,-106.98,-26.19,-14.1,287070,9.34,-95.05,-95.05,-5.42,-99.85,-9.55,-5.87,4,2,0,2,9,13,Yes,36946949,260,310,1,20438,1,0,False,,,12,,4825A000,684C424C14FD6233C40582352C6020610B089860DF704C7E84500E012CFDE000,,
