Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
07/07/2026,14:02:57:506,38.903461,-77.007583,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:04:09:614,38.903602,-77.007393,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:05:37:680,38.903743,-77.007202,5,3,5230,4,10 MHz,0,0,0,-77.6,-77.6,396,1,287123,9.35,13,-116.41,-116.41,-21.92,-10.71,287129,9.35,-117.08,-117.08,-10.14,-116.37,-10.85,-10.14,4,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:06:49:176,38.903883,-77.007012,6,4,5230,4,10 MHz,0,0,0,-73,-73,396,1,287115,9.35,0,-100.81,-100.81,-11.98,3.68,287115,9.35,-109.71,-109.71,-6.72,-109.39,-6.71,-5.68,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:08:24:118,38.904494,-77.006170,7,5,5230,4,10 MHz,0,0,0,-63.31,-63.31,396,1,287101,9.35,18,-94.46,-94.46,-14.68,-2.06,287211,9.35,-100.26,-100.26,-6.94,-101.48,-9.09,-7.25,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:09:46:869,38.903884,-77.007010,8,6,5230,4,10 MHz,0,0,0,-74.41,-74.41,396,1,287095,9.34,16,-104.38,-104.38,-14.66,0.73,287095,9.34,-113.2,-113.2,-11.08,-111.98,-8.88,-9.5,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:11:20:606,38.904298,-77.006485,9,7,5230,4,10 MHz,0,0,0,-70.51,-70.51,396,1,287081,9.34,0,-100.38,-100.38,-13.58,0.5,287081,9.34,-104.25,-104.25,-3.06,-104.34,-5.41,-2.41,4,3,0,2,216,7,Yes,,,,,,,,,,,,,,,,
07/07/2026,14:11:20:606,38.904298,-77.006485,9,7,5230,4,10 MHz,0,0,0,-70.51,-70.51,88,1,287095,9.34,0,-115.88,-115.88,-29.08,-17.91,287111,9.35,-111.8,-111.8,-10.62,-104.9,-5.94,-6.25,0,,,,,,,,,,,,,,,,,,,,,,
07/07/2026,14:12:47:249,38.904166,-77.006710,10,8,5230,4,10 MHz,0,0,0,-70.42,-70.42,396,1,287071,9.34,2,-105.16,-105.16,-16.61,-2.63,287079,9.34,-103.52,-103.52,-2.98,-108.7,-7.56,-2.68,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
07/07/2026,14:14:26:901,38.904948,-77.005678,11,9,5230,4,10 MHz,0,0,0,-63.32,-63.32,396,1,287055,9.34,40,-96.28,-96.28,-16.29,-4.07,287051,9.34,-98.46,-98.46,-4.42,-98.94,-8.77,-6.04,4,3,0,2,216,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B60E000,484C469016B041A2FA019181852020410308584502C62C1524A818030292C08A,,
