ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,71,07/07/2026,14:02:14:021,2,00/00/0000,00:00:00:000,,38.903461,-77.007583,0.00,0,0.00,,,8,0,0,-59.2,-59.2,,,63,627.650000,20,15,A,1,1,1,0,2377256,-92.29,-92.29,-20.18,-8.52,-92.16,-92.16,-19.93,-8.2,96,-8.5,-89.17,-89.17,-15.95,-7.48,-90.95,-90.95,-18.13,-7.68,7AABC4,,,,,,,,,,,,0C0A080010273B2000000000,12,0A,08,00,10,39,3B2000000000,1,11
32409007,C00F,71,07/07/2026,14:02:14:021,2,00/00/0000,00:00:00:000,,38.903487,-77.007548,0.00,0,0.00,,,9,0,0,-59.2,-59.2,,,63,627.650000,20,15,A,1,1,1,0,2377256,-92.19,-92.19,-20.1,-8.42,-92.12,-92.12,-19.91,-8.07,96,-8.4,-90.69,-90.69,-17.41,-9.71,-91.61,-91.61,-18.76,-8.43,7AABC4,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,71,07/07/2026,14:02:14:021,2,00/00/0000,00:00:00:000,,38.903514,-77.007512,0.00,0,0.00,,,10,0,0,-59.3,-59.3,,,63,627.650000,20,15,A,1,1,1,0,2377256,-92.28,-92.28,-20.15,-8.41,-92.13,-92.13,-19.89,-8.03,96,-8.37,-88.36,-88.36,-14.97,-7.43,-90.52,-90.52,-17.59,-7.51,7AABC4,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,71,07/07/2026,14:02:14:021,2,00/00/0000,00:00:00:000,,38.903540,-77.007476,0.00,0,0.00,,,11,0,0,-59.2,-59.2,,,63,627.650000,20,15,A,1,1,1,0,2377256,-92.39,-92.39,-20.25,-8.58,-92.12,-92.12,-19.88,-8.16,96,-8.51,-91.54,-91.54,-18.33,-5.79,-90.01,-90.01,-17.18,-6.46,7AABC4,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,71,07/07/2026,14:03:29:764,2,00/00/0000,00:00:00:000,,38.903566,-77.007441,0.00,0,0.00,,,12,0,0,-61.9,-61.9,,,64,627.650000,20,15,A,2,2,1,0,2377464,-88.73,-88.73,-13.73,0.92,-88.68,-88.68,-13.68,0.85,192,1.18,-89.71,-89.71,-13.89,0.79,-89,-89,-13.49,1.07,2CABC4,6E88140A098849813FB800508D20006826234904FEE00142348001000C50010810C04A08460120000069670CB10F9B82010000008400020834A01440358084144006708460828F000001A79738658B484401D30351066402802F38237086E18DC41BED97C44058F1015157B90C51043800000000,310;311,260;490,Stand Alone,20,632.000000,5238272,5405704193,Yes,,,0C0A080010273B2000000000,12,0A,08,00,10,39,3B2000000000,2,11
32409007,C00F,71,07/07/2026,14:03:29:770,2,00/00/0000,00:00:00:000,,38.903593,-77.007405,0.00,0,0.00,,,13,0,0,-61.8,-61.8,,,64,627.650000,20,15,A,2,2,1,0,2377464,-88.65,-88.65,-13.65,1.12,-88.55,-88.55,-13.56,1.09,192,1.4,-90.35,-90.35,-14.57,0.27,-89.09,-89.09,-13.6,1.1,2CABC4,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,71,07/07/2026,14:03:29:770,2,00/00/0000,00:00:00:000,,38.903619,-77.007369,0.00,0,0.00,,,14,0,0,-61.7,-61.7,,,64,627.650000,20,15,A,2,2,1,0,2377464,-88.53,-88.53,-13.65,1.12,-88.57,-88.57,-13.67,0.89,192,1.3,-90.13,-90.13,-14.48,0.35,-88.99,-88.99,-13.63,1.05,2CABC4,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,71,07/07/2026,14:03:29:770,2,00/00/0000,00:00:00:000,,38.903646,-77.007333,0.00,0,0.00,,,15,0,0,-61.5,-61.5,,,64,627.650000,20,15,A,2,2,1,0,2377464,-88.16,-88.16,-13.43,1.62,-88.14,-88.14,-13.39,1.47,192,1.85,-89.11,-89.11,-13.69,1.78,-88.44,-88.44,-13.26,1.83,2CABC4,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,71,07/07/2026,14:04:52:162,2,00/00/0000,00:00:00:000,,38.903672,-77.007298,0.00,0,0.00,,,16,0,0,-61.3,-61.3,,,64,627.650000,20,15,A,2,2,1,0,2377368,-87.06,-87.06,-12.63,3.32,-86.88,-86.88,-12.4,4.08,160,4.59,-88.55,-88.55,-13.36,3.33,-87.42,-87.42,-12.5,4.25,32ABC4,,,,,,,,,,,,0C0A080010273B2000000000,12,0A,08,00,10,39,3B2000000000,2,11
32409007,C00F,71,07/07/2026,14:04:52:163,2,00/00/0000,00:00:00:000,,38.903699,-77.007262,0.00,0,0.00,,,17,0,0,-61.4,-61.4,,,64,627.650000,20,15,A,2,2,1,0,2377368,-87.03,-87.03,-12.64,3.33,-86.89,-86.89,-12.43,3.95,160,4.53,-88.73,-88.73,-13.3,3.4,-87.45,-87.45,-12.4,4.23,34ABC4,,,,,,,,,,,,,,,,,,,,2,11
