Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Block Status,Antenna Gain,Cable Loss,Antenna Gain RF2,Cable Loss RF2,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,Channels,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,Time Offset (msec),Primary Sync Signal - Received Power,Adjusted Primary Sync Signal - Received Power,Primary Sync Signal - Received Quality,Primary Sync Signal - CINR,Secondary Sync Signal - Received Power,Adjusted Secondary Sync Signal - Received Power,Secondary Sync Signal - Received Quality,Secondary Sync Signal - CINR,Secondary Sync Signal - Delay Spread,Sync Signal - CINR,DMRS-PBCH - Received Power,Adjusted DMRS-PBCH - Received Power,DMRS-PBCH - Received Quality,DMRS-PBCH - CINR,SSB - Received Power,Adjusted SSB - Received Power,SSB - Received Quality,SSB - CINR,BCCH-BCH-Master Information Block,BCCH-DL-SCH-System Information Block 1,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 Decode,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,Reserved1a, Reserved1b,Reserved2a, Reserved2b,Reserved3a, Reserved3b,Reserved4a, Reserved4b,Reserved5a, Reserved5b,Reserved6a, Reserved6b,Reserved7a, Reserved7b,Reserved8a, Reserved8b
07/07/2026,14:02:09:469,38.903461,-77.007583,5,6,520110,1,0,0,0,0,0,-68.9,-68.9,,,625,2600.550000,20,30,C,2,1,1,0,0,2324956,18.9,-92.19,-92.19,-10.8,25.27,-92.54,-92.54,-10.8,27.39,0,25.69,-93.47,-93.47,-10.76,23.51,-92.69,-92.69,-10.41,24.99,,,,,Stand Alone,100,2640.000000,,,,,,,,,,,,,,,
07/07/2026,14:02:09:469,38.903461,-77.007583,5,6,502110,1,0,0,0,0,0,-88.9,-88.9,,,283,2510.550000,20,30,C,2,2,1,1,0,2350948,19.11,-113.9,-113.9,-11.73,7.96,-114.06,-114.06,-11.7,7.88,16,8.92,-114.12,-114.12,-12.03,8.58,-114.03,-114.03,-11.87,8.81,450624,6E80160A098849813FB80050C5584DE826234904FEE00143156137000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA833200DF17BC11B84370C6E20DC51B8C37206E48DF64BE28DAC78809300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000,,
07/07/2026,14:02:09:469,38.903461,-77.007583,5,6,502110,1,0,0,0,0,0,-88.9,-88.9,,,606,2510.550000,20,30,C,2,2,1,0,0,2324644,18.9,-114.05,-114.05,-11.48,9.29,-114.07,-114.07,-11.6,8.39,64,9.82,-114.68,-114.68,-12.05,7.7,-114.25,-114.25,-11.66,9.09,450624,6E80160A098849813FB80050C5584E2826234904FEE00143156138000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA8332009C17BC11B84370C6E20DC51B8C37206E48DF64BE32F2C79009300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000,,
07/07/2026,14:02:09:480,38.903521,-77.007502,6,7,502110,1,0,0,0,0,0,-89.1,-89.1,,,283,2510.550000,20,30,C,1,2,1,1,0,2350948,19.11,-113.79,-113.79,-11.45,9.74,-114.04,-114.04,-11.54,9.45,16,10.6,-114.27,-114.27,-11.98,9.05,-114.03,-114.03,-11.69,10.07,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:02:09:480,38.903521,-77.007502,6,7,502110,1,0,0,0,0,0,-89.1,-89.1,,,606,2510.550000,20,30,C,1,2,1,0,0,2324644,18.9,-114.08,-114.08,-11.43,9.89,-114.14,-114.14,-11.47,9.17,0,10.51,-114.64,-114.64,-11.87,9.65,-114.27,-114.27,-11.54,10.24,,,,,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:02:09:480,38.903581,-77.007420,7,8,502110,1,0,0,0,0,0,-89,-89,,,283,2510.550000,20,30,C,1,2,1,1,0,2350948,19.11,-113.5,-113.5,-11.36,10.57,-113.82,-113.82,-11.49,9.66,0,11.11,-114.08,-114.08,-11.85,10.47,-113.79,-113.79,-11.56,10.91,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:02:09:480,38.903581,-77.007420,7,8,502110,1,0,0,0,0,0,-89,-89,,,606,2510.550000,20,30,C,1,2,1,0,0,2324644,18.9,-113.84,-113.84,-11.32,10.92,-114,-114,-11.42,10.22,0,11.57,-114.25,-114.25,-11.4,9.96,-114.02,-114.02,-11.28,11.01,,,,,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:02:09:480,38.903642,-77.007338,8,9,502110,1,0,0,0,0,0,-88.8,-88.8,,,283,2510.550000,20,30,C,1,2,1,1,0,2350948,19.11,-113.27,-113.27,-11.57,9.12,-113.39,-113.39,-11.59,8.69,0,9.9,-114.22,-114.22,-12.1,7.17,-113.6,-113.6,-11.61,8.96,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:02:09:480,38.903642,-77.007338,8,9,502110,1,0,0,0,0,0,-88.8,-88.8,,,606,2510.550000,20,30,C,1,2,1,0,0,2324644,18.9,-114.17,-114.17,-11.86,6.65,-113.75,-113.75,-11.75,7.48,0,8.06,-114.39,-114.39,-11.81,7.44,-114.09,-114.09,-11.66,7.87,,,,,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:03:25:171,38.903702,-77.007257,9,10,502110,1,0,0,0,0,0,-90,-90,,,283,2510.550000,20,30,C,2,2,1,1,0,2350896,19.11,-114.42,-114.42,-11.44,9.59,-114.15,-114.15,-11.57,8.89,0,10.21,-115.68,-115.68,-12.31,7.22,-114.68,-114.68,-11.53,9.23,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:03:25:171,38.903702,-77.007257,9,10,502110,1,0,0,0,0,0,-90,-90,,,606,2510.550000,20,30,C,2,2,1,0,0,2324584,18.9,-116.33,-116.33,-11.79,7.52,-116,-116,-11.97,6.69,0,8.07,-116.7,-116.7,-11.98,5.92,-116.33,-116.33,-11.77,7.32,,,,,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:03:25:171,38.903702,-77.007257,9,10,520110,1,0,0,0,0,0,-72.5,-72.5,,,625,2600.550000,20,30,C,2,1,1,0,0,2324920,18.9,-96.48,-96.48,-10.82,22.17,-96.46,-96.46,-10.83,20.36,0,21.73,-97.02,-97.02,-11.07,18.56,-96.59,-96.59,-10.75,20.85,,,,,Stand Alone,100,2640.000000,,,,,,,,,,,,,,,
07/07/2026,14:04:47:688,38.903763,-77.007175,10,11,520110,1,0,0,0,0,0,-70.6,-70.6,,,625,2600.550000,20,30,C,2,1,1,0,0,2324872,18.9,-94.16,-94.16,-10.82,22.01,-94.18,-94.18,-10.82,21.68,16,22.34,-95.1,-95.1,-10.8,21.92,-94.45,-94.45,-10.5,22.22,,,,,Stand Alone,100,2640.000000,,,,,,,,,,,,,,,
07/07/2026,14:04:47:688,38.903763,-77.007175,10,11,502110,1,0,0,0,0,0,-88.7,-88.7,,,283,2510.550000,20,30,C,2,1,1,1,0,2350864,19.11,-112.73,-112.73,-11.37,10.15,-112.93,-112.93,-11.37,10.19,0,11.17,-113.87,-113.87,-11.68,10.21,-113.14,-113.14,-11.2,10.89,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:06:04:134,38.903823,-77.007093,11,12,502110,1,0,0,0,0,0,-94.9,-94.9,,,283,2510.550000,20,30,C,2,1,1,1,0,2350844,19.11,-120.55,-120.55,-13.11,2.88,-119.88,-119.88,-12.9,3.2,64,3.9,-121.46,-121.46,-13.36,2.16,-120.57,-120.57,-12.8,3.37,,,,,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
07/07/2026,14:06:04:134,38.903823,-77.007093,11,12,520110,1,0,0,0,0,0,-69.2,-69.2,,,625,2600.550000,20,30,C,2,1,1,0,0,2324832,18.9,-92.66,-92.66,-10.81,24.75,-92.94,-92.94,-10.8,24.54,0,24.75,-93.65,-93.65,-10.83,22.63,-93.05,-93.05,-10.53,24.04,,,,,Stand Alone,100,2640.000000,,,,,,,,,,,,,,,
07/07/2026,14:07:29:250,38.903883,-77.007012,12,13,520110,1,0,0,0,0,0,-57.2,-57.2,,,625,2600.550000,20,30,C,2,1,1,0,0,2324784,18.9,-80.94,-80.94,-10.81,24.83,-81,-81,-10.8,28.87,0,25.86,-81.55,-81.55,-10.8,25.77,-81.15,-81.15,-10.61,25.84,,,,,Stand Alone,100,2640.000000,,,,,,,,,,,,,,,
