ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,41,07/07/2026,14:02:07:563,2,00/00/0000,00:00:00:000,,38.903461,-77.007583,0.00,0,0.00,,,8,0,0,-89.3,-89.3,,,606,2510.550000,20,30,C,1,1,0,0,2324604,-114.24,-114.24,-11.4,10.11,-114.52,-114.52,-11.77,7.17,0,9.44,-114.39,-114.39,-11.32,9.29,-114.38,-114.38,-11.42,9.39,2D0624,6E80160A098849813FB80050C5584E2826234904FEE00143156138000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA8332009C17BC11B84370C6E20DC51B8C37206E48DF64BE32F2C79009300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441912,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000,1,11
32409007,C00F,41,07/07/2026,14:02:07:569,2,00/00/0000,00:00:00:000,,38.903487,-77.007548,0.00,0,0.00,,,9,0,0,-89.1,-89.1,,,606,2510.550000,20,30,C,1,1,0,0,2324604,-114.07,-114.07,-11.46,9.32,-114.48,-114.48,-11.45,9.87,0,10.57,-114.71,-114.71,-11.72,8.83,-114.4,-114.4,-11.48,9.98,2D0624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:02:07:569,2,00/00/0000,00:00:00:000,,38.903514,-77.007512,0.00,0,0.00,,,10,0,0,-89.3,-89.3,,,606,2510.550000,20,30,C,1,1,0,0,2324604,-114.38,-114.38,-11.45,9.51,-114.11,-114.11,-11.5,9.02,0,10.25,-114.75,-114.75,-11.84,9.51,-114.4,-114.4,-11.54,10.02,2D0624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:02:07:569,2,00/00/0000,00:00:00:000,,38.903540,-77.007476,0.00,0,0.00,,,11,0,0,-89.3,-89.3,,,606,2510.550000,20,30,C,1,1,0,0,2324604,-114.55,-114.55,-11.58,8.53,-113.85,-113.85,-11.45,9.8,0,10.17,-114.58,-114.58,-11.69,9.07,-114.31,-114.31,-11.49,9.81,2D0624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,07/07/2026,14:03:23:579,2,00/00/0000,00:00:00:000,,38.903566,-77.007441,0.00,0,0.00,,,12,0,0,-88.4,-88.4,,,283,2510.550000,20,30,C,2,2,1,0,2350904,-112.68,-112.68,-11.41,9.71,-112.2,-112.2,-11.36,10.46,0,11.09,-113.9,-113.9,-11.84,8.12,-112.85,-112.85,-11.17,10.13,610624,6E80160A098849813FB80050C5584DE826234904FEE00143156137000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA833200DF17BC11B84370C6E20DC51B8C37206E48DF64BE28DAC78809300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000,2,11
32409007,C00F,41,07/07/2026,14:03:23:584,2,00/00/0000,00:00:00:000,,38.903593,-77.007405,0.00,0,0.00,,,13,0,0,-89.5,-89.5,,,283,2510.550000,20,30,C,2,2,1,0,2350904,-112.98,-112.98,-11.3,10.63,-112.95,-112.95,-11.21,12.23,0,12.36,-114.97,-114.97,-11.72,7.45,-113.52,-113.52,-10.87,10.65,630624,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,41,07/07/2026,14:03:23:584,2,00/00/0000,00:00:00:000,,38.903619,-77.007369,0.00,0,0.00,,,14,0,0,-90.7,-90.7,,,283,2510.550000,20,30,C,2,2,1,0,2350904,-114.9,-114.9,-11.67,7.55,-114.77,-114.77,-11.5,9.29,0,9.35,-116.41,-116.41,-12.18,6.39,-115.28,-115.28,-11.41,8.41,630624,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,41,07/07/2026,14:03:23:584,2,00/00/0000,00:00:00:000,,38.903646,-77.007333,0.00,0,0.00,,,15,0,0,-91.5,-91.5,,,283,2510.550000,20,30,C,2,2,1,0,2350904,-115.47,-115.47,-11.6,8.3,-115.94,-115.94,-11.65,8.38,0,9.34,-117.27,-117.27,-12.29,6.44,-116.14,-116.14,-11.49,8.42,630624,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,41,07/07/2026,14:04:45:819,2,00/00/0000,00:00:00:000,,38.903672,-77.007298,0.00,0,0.00,,,16,0,0,-89.5,-89.5,,,283,2510.550000,20,30,C,2,2,1,0,2350888,-113.55,-113.55,-11.46,9.63,-114.01,-114.01,-11.5,9.35,0,10.5,-114.37,-114.37,-11.51,10.46,-113.96,-113.96,-11.3,10.49,670624,6E80160A098849813FB80050C5584DE826234904FEE00143156137000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA833200DF17BC11B84370C6E20DC51B8C37206E48DF64BE28DAC78809300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010274DE000000000,12,00,08,00,10,39,4DE000000000,2,11
32409007,C00F,41,07/07/2026,14:04:45:829,2,00/00/0000,00:00:00:000,,38.903699,-77.007262,0.00,0,0.00,,,17,0,0,-89.6,-89.6,,,283,2510.550000,20,30,C,2,2,1,0,2350888,-114.05,-114.05,-11.46,9.8,-114.3,-114.3,-11.36,10.63,0,11.18,-114.56,-114.56,-11.75,9.24,-114.29,-114.29,-11.5,10.5,670624,,,,,,,,,,,,,,,,,,,,2,11
