t_s,x_px,y_px,LTE_B71_617MHz_rsrp,LTE_B71_617MHz_rsrq,LTE_B71_617MHz_sinr,LTE_B71_617MHz_rssi,LTE_B2_1960MHz_rsrp,LTE_B2_1960MHz_rsrq,LTE_B2_1960MHz_sinr,LTE_B2_1960MHz_rssi,NR_n41_2506MHz_rsrp,NR_n41_2506MHz_rsrq,NR_n41_2506MHz_sinr,NR_n41_2506MHz_rssi,NR_n77_3750MHz_rsrp,NR_n77_3750MHz_rsrq,NR_n77_3750MHz_sinr,NR_n77_3750MHz_rssi
0.0,90.0,200.0,-120.91,-14.38,-1.08,-89.54,-135.9,-22.11,-10.99,-93.79,-140.29,-28.98,-18.12,-89.55,-146.74,-35.34,-24.53,-87.43
0.5,100.3,200.0,-118.72,-13.45,0.74,-88.28,-134.25,-20.65,-9.38,-93.6,-138.86,-27.59,-16.7,-89.51,-145.77,-34.37,-23.56,-87.42
1.0,110.6,200.0,-117.0,-12.98,1.84,-87.03,-132.98,-19.57,-8.16,-93.41,-137.73,-26.49,-15.58,-89.48,-144.91,-33.51,-22.7,-87.42
1.5,120.9,200.0,-120.22,-14.17,-0.7,-89.06,-135.3,-21.59,-10.42,-93.71,-139.72,-28.42,-17.56,-89.53,-146.22,-34.82,-24.01,-87.42
2.0,131.2,200.0,-116.34,-13.4,0.85,-85.95,-132.31,-19.13,-7.66,-93.18,-137.07,-25.87,-14.94,-89.43,-144.25,-32.86,-22.04,-87.41
2.5,141.5,200.0,-117.41,-13.75,0.1,-86.66,-133.27,-19.95,-8.59,-93.32,-137.97,-26.75,-15.84,-89.46,-145.01,-33.62,-22.8,-87.41
3.0,151.8,200.0,-118.17,-14.14,-0.66,-87.04,-133.78,-20.38,-9.08,-93.4,-138.37,-27.13,-16.24,-89.48,-145.18,-33.78,-22.97,-87.42
3.5,162.1,200.0,-116.31,-12.95,1.91,-86.37,-132.42,-19.15,-7.67,-93.27,-137.19,-25.98,-15.06,-89.45,-144.38,-32.99,-22.17,-87.41
4.0,172.4,200.0,-114.24,-12.79,2.34,-84.46,-130.73,-17.9,-6.16,-92.83,-135.65,-24.53,-13.55,-89.36,-143.15,-31.77,-20.95,-87.4
4.5,182.7,200.0,-112.52,-13.41,0.82,-82.12,-129.29,-17.2,-5.28,-92.09,-134.31,-23.35,-12.31,-89.21,-142.0,-30.65,-19.81,-87.37
5.0,193.1,200.0,-114.94,-12.48,3.25,-85.48,-131.19,-18.14,-6.46,-93.05,-136.01,-24.84,-13.87,-89.41,-143.27,-31.89,-21.07,-87.4
5.5,203.4,200.0,-110.37,-11.85,5.6,-81.53,-127.37,-15.5,-2.91,-91.87,-132.5,-21.58,-10.41,-89.15,-140.43,-29.09,-18.23,-87.36
6.0,213.7,200.0,-113.69,-13.0,1.79,-83.7,-130.05,-17.5,-5.67,-92.54,-134.93,-23.87,-12.86,-89.3,-142.34,-30.97,-20.14,-87.38
6.5,224.0,200.0,-105.75,-11.39,8.32,-77.37,-122.65,-13.12,1.5,-89.53,-127.85,-17.63,-5.83,-88.47,-136.12,-24.89,-13.93,-87.25
7.0,234.3,200.0,-113.78,-12.41,3.45,-84.38,-130.16,-17.42,-5.56,-92.74,-135.02,-23.92,-12.91,-89.34,-142.37,-31.0,-20.17,-87.39
7.5,244.6,200.0,-116.99,-13.66,0.29,-86.34,-132.5,-19.34,-7.9,-93.16,-137.05,-25.87,-14.94,-89.42,-143.79,-32.41,-21.59,-87.4
8.0,254.9,200.0,-113.51,-12.29,3.85,-84.23,-129.74,-17.09,-5.14,-92.65,-134.58,-23.5,-12.47,-89.32,-141.9,-30.53,-19.7,-87.38
8.5,265.2,200.0,-117.21,-13.81,-0.02,-86.4,-132.5,-19.36,-7.92,-93.14,-136.99,-25.82,-14.89,-89.41,-143.63,-32.25,-21.42,-87.4
9.0,275.5,200.0,-113.98,-12.48,3.22,-84.51,-129.96,-17.28,-5.38,-92.69,-134.72,-23.64,-12.62,-89.32,-141.9,-30.53,-19.7,-87.38
9.5,285.8,200.0,-114.61,-13.0,1.79,-84.63,-130.49,-17.76,-6.0,-92.72,-135.18,-24.09,-13.1,-89.33,-142.22,-30.86,-20.02,-87.38
